"engine.time","0.ikr.IKr","0.membrane.V","1.ikr.IKr","1.membrane.V"
 0.00000000000000000e+00,-7.00838920316834230e-07,-8.79360504495580670e+01,-7.00839339578952425e-07,-8.79360504899078137e+01
 1.00000000000000006e-01,-7.00882496392626097e-07,-8.79360568648154555e+01,-7.00883010931995355e-07,-8.79360569188661145e+01
 2.00000000000000011e-01,-7.00926072325236573e-07,-8.79360632800728439e+01,-7.00926662376274884e-07,-8.79360633450076676e+01
 3.00000000000000044e-01,-7.00969648114562215e-07,-8.79360696953302323e+01,-7.00970293920398455e-07,-8.79360697683337236e+01
 4.00000000000000022e-01,-7.01013223760603552e-07,-8.79360761105876207e+01,-7.01013905572665826e-07,-8.79360761888455187e+01
 5.00000000000000000e-01,-7.01056799263463074e-07,-8.79360825258450234e+01,-7.01057497341789155e-07,-8.79360826065442893e+01
 6.00000000000000089e-01,-7.01100308031605556e-07,-8.79360889316126730e+01,-7.01101069236481340e-07,-8.79360890214312860e+01
 7.00000000000000067e-01,-7.01143778197232717e-07,-8.79360953318995229e+01,-7.01144621265044786e-07,-8.79360954335077594e+01
 8.00000000000000044e-01,-7.01187248220147956e-07,-8.79361017321863585e+01,-7.01188153436091383e-07,-8.79361018427749173e+01
 9.00000000000000022e-01,-7.01230718100659699e-07,-8.79361081324732083e+01,-7.01231665758233551e-07,-8.79361082492340245e+01
 1.00000000000000000e+00,-7.01274187838665241e-07,-8.79361145327600440e+01,-7.01275158239982065e-07,-8.79361146528863173e+01
 1.10000000000000009e+00,-7.01317624054383585e-07,-8.79361209282915013e+01,-7.01318630889745526e-07,-8.79361210537330322e+01
 1.20000000000000018e+00,-7.01360960619433729e-07,-8.79361273096466789e+01,-7.01362083716242127e-07,-8.79361274517754055e+01
 1.30000000000000004e+00,-7.01404284049313778e-07,-8.79361336891507221e+01,-7.01405516727778827e-07,-8.79361338470146592e+01
 1.40000000000000013e+00,-7.01447594344063438e-07,-8.79361400668036453e+01,-7.01448929933178637e-07,-8.79361402394520582e+01
 1.50000000000000000e+00,-7.01490891503928666e-07,-8.79361464426054198e+01,-7.01492323340544593e-07,-8.79361466290888103e+01
 1.60000000000000009e+00,-7.01534175528846251e-07,-8.79361528165560600e+01,-7.01535696958803787e-07,-8.79361530159261804e+01
 1.70000000000000018e+00,-7.01577446419267663e-07,-8.79361591886555800e+01,-7.01579050796061159e-07,-8.79361593999653621e+01
 1.80000000000000004e+00,-7.01620704175026671e-07,-8.79361655589039515e+01,-7.01622384861245284e-07,-8.79361657812076345e+01
 1.90000000000000013e+00,-7.01663948796574532e-07,-8.79361719273012028e+01,-7.01665699162565499e-07,-8.79361721596541912e+01
 2.00000000000000000e+00,-7.01707180283848141e-07,-8.79361782938473198e+01,-7.01708993708643965e-07,-8.79361785353062970e+01
 2.10000000000000009e+00,-7.01750398636887099e-07,-8.79361846585422882e+01,-7.01752268507793779e-07,-8.79361849081651599e+01
 2.20000000000000018e+00,-7.01793603856039535e-07,-8.79361910213861364e+01,-7.01795523568741500e-07,-8.79361912782320161e+01
 2.30000000000000027e+00,-7.01836795941447750e-07,-8.79361973823788503e+01,-7.01838758899905258e-07,-8.79361976455081162e+01
 2.40000000000000036e+00,-7.01879974893151238e-07,-8.79362037415204298e+01,-7.01881974509601117e-07,-8.79362040099946540e+01
 2.50000000000000000e+00,-7.01923140711292407e-07,-8.79362100988108750e+01,-7.01925170406557539e-07,-8.79362103716928942e+01
 2.60000000000000009e+00,-7.01966293396219174e-07,-8.79362164542502001e+01,-7.01968346599195197e-07,-8.79362167306040448e+01
 2.70000000000000018e+00,-7.02009432947765204e-07,-8.79362228078383765e+01,-7.02011503095832378e-07,-8.79362230867293420e+01
 2.80000000000000027e+00,-7.02052559366381224e-07,-8.79362291595754328e+01,-7.02054639905199874e-07,-8.79362294400700222e+01
 2.90000000000000036e+00,-7.02095672651797773e-07,-8.79362355094613406e+01,-7.02097757035411837e-07,-8.79362357906272791e+01
 3.00000000000000000e+00,-7.02138758303086713e-07,-8.79362418554330674e+01,-7.02140854495097627e-07,-8.79362421384023776e+01
 3.10000000000000009e+00,-7.02181800889972511e-07,-8.79362481952953914e+01,-7.02183932292887133e-07,-8.79362484833965254e+01
 3.20000000000000018e+00,-7.02224826034238747e-07,-8.79362545326933684e+01,-7.02226990436999963e-07,-8.79362548256109449e+01
 3.30000000000000027e+00,-7.02267833736175951e-07,-8.79362608676269986e+01,-7.02270028936067171e-07,-8.79362611650468722e+01
 3.40000000000000036e+00,-7.02310823995971424e-07,-8.79362672000962675e+01,-7.02313047798309953e-07,-8.79362675017055295e+01
 3.50000000000000000e+00,-7.02353796813812360e-07,-8.79362735301012037e+01,-7.02356047032360951e-07,-8.79362738355881248e+01
 3.60000000000000009e+00,-7.02396752189783357e-07,-8.79362798576417930e+01,-7.02399026646545334e-07,-8.79362801666958944e+01
 3.70000000000000018e+00,-7.02439690124174417e-07,-8.79362861827180211e+01,-7.02441986649394736e-07,-8.79362864950300605e+01
 3.80000000000000027e+00,-7.02482610617069715e-07,-8.79362925053299023e+01,-7.02484927049235385e-07,-8.79362928205918450e+01
 3.90000000000000036e+00,-7.02525513668964765e-07,-8.79362988254774507e+01,-7.02527847854702993e-07,-8.79362991433824561e+01
 4.00000000000000000e+00,-7.02568399279532294e-07,-8.79363051431606380e+01,-7.02570749073920183e-07,-8.79363054634031300e+01
 4.10000000000000053e+00,-7.02611267449370414e-07,-8.79363114583794783e+01,-7.02613630715523408e-07,-8.79363117806550747e+01
 4.20000000000000018e+00,-7.02654118178460383e-07,-8.79363177711339716e+01,-7.02656492787842391e-07,-8.79363180951395265e+01
 4.29999999999999982e+00,-7.02696951467194485e-07,-8.79363240814241180e+01,-7.02699335299309662e-07,-8.79363244068576790e+01
 4.40000000000000036e+00,-7.02739767315553449e-07,-8.79363303892499175e+01,-7.02742158258358811e-07,-8.79363307158107688e+01
 4.50000000000000000e+00,-7.02782565723826748e-07,-8.79363366946113700e+01,-7.02784961673423956e-07,-8.79363370220000178e+01
 4.60000000000000053e+00,-7.02825346692097922e-07,-8.79363429975084756e+01,-7.02827745552734023e-07,-8.79363433254266198e+01
 4.70000000000000018e+00,-7.02868110220656232e-07,-8.79363492979412342e+01,-7.02870509904930336e-07,-8.79363496260918112e+01
 4.80000000000000071e+00,-7.02910856309687813e-07,-8.79363555959096459e+01,-7.02913254738346005e-07,-8.79363559239967998e+01
 4.90000000000000036e+00,-7.02953579340542546e-07,-8.79363618906169222e+01,-7.02955980061212178e-07,-8.79363622191427936e+01
 5.00000000000000000e+00,-7.02996276538795036e-07,-8.79363681816696356e+01,-7.02998685882068853e-07,-8.79363685115310147e+01
 5.10000000000000053e+00,-7.03038954949501426e-07,-8.79363744700667525e+01,-7.03041372209251471e-07,-8.79363748011626853e+01
 5.20000000000000018e+00,-7.03081614572963895e-07,-8.79363807558082868e+01,-7.03084039051198490e-07,-8.79363810880390133e+01
 5.30000000000000071e+00,-7.03124255409175771e-07,-8.79363870388942246e+01,-7.03126686416246515e-07,-8.79363873721612066e+01
 5.40000000000000036e+00,-7.03166877458644429e-07,-8.79363933193245799e+01,-7.03169314312629553e-07,-8.79363936535304731e+01
 5.50000000000000000e+00,-7.03209480721363091e-07,-8.79363995970993386e+01,-7.03211922748788394e-07,-8.79363999321480208e+01
 5.60000000000000053e+00,-7.03252065197427790e-07,-8.79364058722185149e+01,-7.03254511733369549e-07,-8.79364062080150859e+01
 5.70000000000000018e+00,-7.03294630887242773e-07,-8.79364121446820945e+01,-7.03297081274403527e-07,-8.79364124811328480e+01
 5.80000000000000071e+00,-7.03337177790800839e-07,-8.79364184144900776e+01,-7.03339631380332704e-07,-8.79364187515025435e+01
 5.90000000000000036e+00,-7.03379705908403639e-07,-8.79364246816424782e+01,-7.03382162059702691e-07,-8.79364250191253660e+01
 6.00000000000000000e+00,-7.03422215240454995e-07,-8.79364309461392963e+01,-7.03424673320546006e-07,-8.79364312840025235e+01
 6.10000000000000053e+00,-7.03464705786844687e-07,-8.79364372079805037e+01,-7.03467165171203489e-07,-8.79364375461352239e+01
 6.20000000000000018e+00,-7.03507177547771027e-07,-8.79364434671661286e+01,-7.03509637620325675e-07,-8.79364438055246751e+01
 6.30000000000000071e+00,-7.03549630523843454e-07,-8.79364497236961711e+01,-7.03552090676152290e-07,-8.79364500621720993e+01
 6.40000000000000036e+00,-7.03592064714745603e-07,-8.79364559775706169e+01,-7.03594524346923482e-07,-8.79364563160786759e+01
 6.50000000000000000e+00,-7.03634480120984105e-07,-8.79364622287894804e+01,-7.03636938640982736e-07,-8.79364625672456270e+01
 6.60000000000000053e+00,-7.03676876742653827e-07,-8.79364684773527472e+01,-7.03679333566776878e-07,-8.79364688156741607e+01
 6.70000000000000018e+00,-7.03719254579952657e-07,-8.79364747232604174e+01,-7.03721709132445258e-07,-8.79364750613654707e+01
 6.80000000000000071e+00,-7.03761611911449291e-07,-8.79364809662713753e+01,-7.03764065346435865e-07,-8.79364813043207647e+01
 6.90000000000000036e+00,-7.03803948557174531e-07,-8.79364872063603542e+01,-7.03806402217094304e-07,-8.79364875445412508e+01
 7.00000000000000000e+00,-7.03846266072762301e-07,-8.79364934437452632e+01,-7.03848719752664111e-07,-8.79364937820281227e+01
 7.10000000000000053e+00,-7.03888564459132268e-07,-8.79364996784261308e+01,-7.03891017961389564e-07,-8.79365000167825741e+01
 7.20000000000000018e+00,-7.03930843715867267e-07,-8.79365059104029427e+01,-7.03933296851720556e-07,-8.79365062488058271e+01
 7.30000000000000071e+00,-7.03973103843475518e-07,-8.79365121396756848e+01,-7.03975556431902531e-07,-8.79365124780990755e+01
 7.40000000000000036e+00,-7.04015344842053689e-07,-8.79365183662443712e+01,-7.04017796710283845e-07,-8.79365187046635270e+01
 7.50000000000000000e+00,-7.04057566712007085e-07,-8.79365245901090162e+01,-7.04060017695007555e-07,-8.79365249285003614e+01
 7.60000000000000053e+00,-7.04099769453329142e-07,-8.79365308112695914e+01,-7.04102219394423288e-07,-8.79365311496107864e+01
 7.70000000000000018e+00,-7.04141953066116634e-07,-8.79365370297261109e+01,-7.04144401816984011e-07,-8.79365373679959959e+01
 7.80000000000000071e+00,-7.04184117550774017e-07,-8.79365432454785605e+01,-7.04186564970731347e-07,-8.79365435836571976e+01
 7.90000000000000036e+00,-7.04226262907500770e-07,-8.79365494585269687e+01,-7.04228708864222447e-07,-8.79365497965955996e+01
 8.00000000000000000e+00,-7.04268389136392605e-07,-8.79365556688713212e+01,-7.04270833505397187e-07,-8.79365560068123671e+01
 8.09999999999999964e+00,-7.04310496237648895e-07,-8.79365618765116039e+01,-7.04312938902813139e-07,-8.79365622143087222e+01
 8.20000000000000107e+00,-7.04352584211468056e-07,-8.79365680814478310e+01,-7.04355025064617067e-07,-8.79365684190858445e+01
 8.30000000000000071e+00,-7.04394653058151737e-07,-8.79365742836800024e+01,-7.04397091998956264e-07,-8.79365746211449419e+01
 8.40000000000000036e+00,-7.04436702777692952e-07,-8.79365804832081182e+01,-7.04439139714287082e-07,-8.79365808204871939e+01
 8.50000000000000000e+00,-7.04478733370701457e-07,-8.79365866800321783e+01,-7.04481168218860364e-07,-8.79365870171138084e+01
 8.59999999999999964e+00,-7.04520744836964224e-07,-8.79365928741521827e+01,-7.04523177520722076e-07,-8.79365932110259649e+01
 8.70000000000000107e+00,-7.04562737503235647e-07,-8.79365990656246765e+01,-7.04565167628432544e-07,-8.79365994022248714e+01
 8.80000000000000071e+00,-7.04604711291828512e-07,-8.79366052544361878e+01,-7.04607138550038475e-07,-8.79366055907117072e+01
 8.90000000000000036e+00,-7.04646665985900689e-07,-8.79366114405491004e+01,-7.04649090293792830e-07,-8.79366117764876662e+01
 9.00000000000000000e+00,-7.04688601585648903e-07,-8.79366176239634285e+01,-7.04691022867845864e-07,-8.79366179595539421e+01
 9.09999999999999964e+00,-7.04730518091474964e-07,-8.79366238046791580e+01,-7.04732936280657215e-07,-8.79366241399117285e+01
 9.20000000000000107e+00,-7.04772415503266534e-07,-8.79366299826963029e+01,-7.04774830540480687e-07,-8.79366303175622193e+01
 9.30000000000000071e+00,-7.04814293821425425e-07,-8.79366361580148492e+01,-7.04816705655159808e-07,-8.79366364925065795e+01
 9.40000000000000036e+00,-7.04856153045941685e-07,-8.79366423306347968e+01,-7.04858561633360887e-07,-8.79366426647460173e+01
 9.50000000000000000e+00,-7.04897993177217124e-07,-8.79366485005561458e+01,-7.04900398483133386e-07,-8.79366488342817263e+01
 9.60000000000000142e+00,-7.04939814215344599e-07,-8.79366546677789103e+01,-7.04942216212527716e-07,-8.79366550011148718e+01
 9.70000000000000107e+00,-7.04981616160519668e-07,-8.79366608323030761e+01,-7.04984014829902718e-07,-8.79366611652466617e+01
 9.80000000000000071e+00,-7.05023399012938208e-07,-8.79366669941286432e+01,-7.05025794343515056e-07,-8.79366673266782755e+01
 9.90000000000000036e+00,-7.05065162772898267e-07,-8.79366731532556258e+01,-7.05067554761416201e-07,-8.79366734854108785e+01
 1.00000000000000000e+01,-7.05106907440389683e-07,-8.79366793096840098e+01,-7.05109296092171987e-07,-8.79366796414456928e+01
 1.01000000000000014e+01,-7.05148633015813313e-07,-8.79366854634137951e+01,-7.05151018343525989e-07,-8.79366857947838696e+01
