"engine.time","0.ikr.IKr","0.membrane.V","1.ikr.IKr","1.membrane.V","2.ikr.IKr","2.membrane.V","3.ikr.IKr","3.membrane.V","4.ikr.IKr","4.membrane.V","5.ikr.IKr","5.membrane.V","6.ikr.IKr","6.membrane.V"
 0.00000000000000000e+00,-2.28532238492609495e-08,-8.79360598999692940e+01, 2.96965752561268830e-02,-2.46766559060453048e+01,-2.47791501988621316e-08,-8.79465981763962503e+01, 2.98418913397082292e-02,-2.33569109631130232e+01,-2.60387753386112908e-08,-8.79541310409232864e+01, 2.98143731195662613e-02,-2.19186567986766718e+01,-2.62732763452907691e-08,-8.79571570651991124e+01
 1.00000000000000006e-01,-2.28545547276847926e-08,-8.79360662499986603e+01, 2.96964271022150776e-02,-2.46818034291691184e+01,-2.47803098575049183e-08,-8.79466039671502244e+01, 2.98420714421771885e-02,-2.33727435887361672e+01,-2.60396503312439977e-08,-8.79541353064833658e+01, 2.98149645472262116e-02,-2.19356762329613844e+01,-2.62743796395534371e-08,-8.79571608401830929e+01
 2.00000000000000011e-01,-2.28558850539523288e-08,-8.79360725970840917e+01, 2.96962784843024415e-02,-2.46869528502361284e+01,-2.47814694349797635e-08,-8.79466097551702006e+01, 2.98422475897069939e-02,-2.33885734145495512e+01,-2.60405270638578531e-08,-8.79541395694030115e+01, 2.98155512024381349e-02,-2.19526885747176763e+01,-2.62754811749500130e-08,-8.79571646131978184e+01
 3.00000000000000044e-01,-2.28572153670184428e-08,-8.79360789441695374e+01, 2.96961294016355667e-02,-2.46921041827316401e+01,-2.47826289298782436e-08,-8.79466155404574437e+01, 2.98424197846203811e-02,-2.34044004787552744e+01,-2.60414034096868418e-08,-8.79541438301820904e+01, 2.98161330932270666e-02,-2.19696938789937271e+01,-2.62765809476637894e-08,-8.79571683842442127e+01
 4.00000000000000022e-01,-2.28585456668797930e-08,-8.79360852912549689e+01, 2.96959798534550193e-02,-2.46972574401664176e+01,-2.47837883407766218e-08,-8.79466213230132041e+01, 2.98425880292043436e-02,-2.34202248195553580e+01,-2.60422793687945971e-08,-8.79541480888216256e+01, 2.98167102275597520e-02,-2.19866922008381813e+01,-2.62776789538562216e-08,-8.79571721533231567e+01
 5.00000000000000000e-01,-2.28598759535397277e-08,-8.79360916383404003e+01, 2.96958298389953419e-02,-2.47024126360766765e+01,-2.47849476662257770e-08,-8.79466271028387609e+01, 2.98427523257101118e-02,-2.34360464751518265e+01,-2.60431549412347402e-08,-8.79541523453226404e+01, 2.98172826133446221e-02,-2.20036835952990693e+01,-2.62787751897000705e-08,-8.79571759204355459e+01
 6.00000000000000089e-01,-2.28612062270049174e-08,-8.79360979854258460e+01, 2.96956793574850129e-02,-2.47075697840241197e+01,-2.47861069047577845e-08,-8.79466328799353505e+01, 2.98429126763532331e-02,-2.34518654837467722e+01,-2.60440301270741437e-08,-8.79541565996861294e+01, 2.98178502584319459e-02,-2.20206681174250356e+01,-2.62798696513794494e-08,-8.79571796855823038e+01
 7.00000000000000067e-01,-2.28625364872653465e-08,-8.79361043325112774e+01, 2.96955284081464460e-02,-2.47127288975958841e+01,-2.47872660548925038e-08,-8.79466386543042518e+01, 2.98430690833134914e-02,-2.34676818835420811e+01,-2.60449049263530450e-08,-8.79541608519131017e+01, 2.98184131706138028e-02,-2.20376458222642597e+01,-2.62809623350632549e-08,-8.79571834487642974e+01
 8.00000000000000044e-01,-2.28638667343276920e-08,-8.79361106795967231e+01, 2.96953769901959937e-02,-2.47178899904045863e+01,-2.47884251151275236e-08,-8.79466444259467295e+01, 2.98432215487349980e-02,-2.34834957127398489e+01,-2.60457793391481997e-08,-8.79541651020045947e+01, 2.98189713576242146e-02,-2.20546167648649210e+01,-2.62820532369383496e-08,-8.79571872099824503e+01
 9.00000000000000022e-01,-2.28651969681852835e-08,-8.79361170266821546e+01, 2.96952251028439300e-02,-2.47230530760882949e+01,-2.47895840839347268e-08,-8.79466501948640342e+01, 2.98433700747262089e-02,-2.34993070095420968e+01,-2.60466533655097285e-08,-8.79541693499616031e+01, 2.98195248271391593e-02,-2.20715810002756712e+01,-2.62831423531697456e-08,-8.79571909692376295e+01
 1.00000000000000000e+00,-2.28665271888481300e-08,-8.79361233737676002e+01, 2.96950727452944020e-02,-2.47282181683105406e+01,-2.47907429597802362e-08,-8.79466559610574308e+01, 2.98435146633598825e-02,-2.35151158121508495e+01,-2.60475270054877089e-08,-8.79541735957851216e+01, 2.98200735867766194e-02,-2.20885385835445334e+01,-2.62842296799470784e-08,-8.79571947265307585e+01
 1.10000000000000009e+00,-2.28678573963028741e-08,-8.79361297208530317e+01, 2.96949199167454783e-02,-2.47333852807603272e+01,-2.47919017411009913e-08,-8.79466617245281697e+01, 2.98436553166731601e-02,-2.35309221587682025e+01,-2.60484002591554422e-08,-8.79541778394762019e+01, 2.98206176440967106e-02,-2.21054895697201488e+01,-2.62853152134480820e-08,-8.79571984818627186e+01
 1.20000000000000018e+00,-2.28691875905595413e-08,-8.79361360679384774e+01, 2.96947666163890935e-02,-2.47385544271521063e+01,-2.47930604263080146e-08,-8.79466674852775014e+01, 2.98437920366675380e-02,-2.35467260875960349e+01,-2.60492731265562629e-08,-8.79541820810358246e+01, 2.98211570066016264e-02,-2.21224340138507038e+01,-2.62863989498585010e-08,-8.79572022352344192e+01
 1.30000000000000004e+00,-2.28705177716147830e-08,-8.79361424150239088e+01, 2.96946128434110342e-02,-2.47437256212257992e+01,-2.47942190138130036e-08,-8.79466732433067051e+01, 2.98439248253088985e-02,-2.35625276368364496e+01,-2.60501456077500951e-08,-8.79541863204649985e+01, 2.98216916817357972e-02,-2.21393719709843815e+01,-2.62874808853588421e-08,-8.79572059866467271e+01
 1.40000000000000013e+00,-2.28718479394686093e-08,-8.79361487621093403e+01, 2.96944585969909497e-02,-2.47488988767467823e+01,-2.47953775019882519e-08,-8.79466789986170312e+01, 2.98440536845275203e-02,-2.35783268446914605e+01,-2.60510177028001323e-08,-8.79541905577647611e+01, 2.98222216768859044e-02,-2.21563034961698229e+01,-2.62885610161343104e-08,-8.79572097361005518e+01
