"engine.time","0.ikr.IKr","0.membrane.V","1.ikr.IKr","1.membrane.V"
 0.00000000000000000e+00,-1.40128889443985175e-07,-8.80155093494065284e+01, 8.76433094481744550e-03,-2.02984254833242943e+01
 1.00000000000000006e-01,-1.40148707976912627e-07,-8.80155136217446312e+01, 8.76386584306277153e-03,-2.02979335325481252e+01
 2.00000000000000011e-01,-1.40168526324820344e-07,-8.80155178940827483e+01, 8.76340068787009006e-03,-2.02974329951090766e+01
 3.00000000000000044e-01,-1.40188344487426077e-07,-8.80155221664208511e+01, 8.76293547923677994e-03,-2.02969238632601687e+01
 4.00000000000000022e-01,-1.40208162465012101e-07,-8.80155264387589682e+01, 8.76247021715876283e-03,-2.02964061292403777e+01
 5.00000000000000000e-01,-1.40227967889113798e-07,-8.80155307085976801e+01, 8.76200490163046332e-03,-2.02958797852746784e+01
 6.00000000000000089e-01,-1.40247738696909859e-07,-8.80155349714784165e+01, 8.76153953264484017e-03,-2.02953448235741050e+01
 7.00000000000000067e-01,-1.40267509320172116e-07,-8.80155392343591529e+01, 8.76107411019334814e-03,-2.02948012363357861e+01
 8.00000000000000044e-01,-1.40287279758688917e-07,-8.80155434972398893e+01, 8.76060863426596399e-03,-2.02942490157430022e+01
 9.00000000000000022e-01,-1.40307050012389613e-07,-8.80155477601206115e+01, 8.76014310642497449e-03,-2.02936881449445998e+01
 1.00000000000000000e+00,-1.40326797922707918e-07,-8.80155520185259661e+01, 8.75967752641871808e-03,-2.02931186174628948e+01
 1.10000000000000009e+00,-1.40346520859259536e-07,-8.80155562719246660e+01, 8.75921189329266665e-03,-2.02925404308271382e+01
 1.20000000000000018e+00,-1.40366237036916992e-07,-8.80155605239954895e+01, 8.75874620705801264e-03,-2.02919535770091670e+01
 1.30000000000000004e+00,-1.40385946455780845e-07,-8.80155647747384080e+01, 8.75828046772545582e-03,-2.02913580479613351e+01
 1.40000000000000013e+00,-1.40405649116022223e-07,-8.80155690241534643e+01, 8.75781467530520503e-03,-2.02907538356164778e+01
 1.50000000000000000e+00,-1.40425345017671115e-07,-8.80155732722406157e+01, 8.75734882980699209e-03,-2.02901409318878656e+01
 1.60000000000000009e+00,-1.40445034160898596e-07,-8.80155775189999048e+01, 8.75688293124007693e-03,-2.02895193286691509e+01
 1.70000000000000018e+00,-1.40464716545734629e-07,-8.80155817644312890e+01, 8.75641697961327022e-03,-2.02888890178343217e+01
 1.80000000000000004e+00,-1.40484392172279747e-07,-8.80155860085347967e+01, 8.75595097493494200e-03,-2.02882499912376630e+01
 1.90000000000000013e+00,-1.40504061040775592e-07,-8.80155902513104280e+01, 8.75548491721301649e-03,-2.02876022407136993e+01
 2.00000000000000000e+00,-1.40523723151110965e-07,-8.80155944927581686e+01, 8.75501880645500850e-03,-2.02869457580771595e+01
 2.10000000000000009e+00,-1.40543378503456887e-07,-8.80155987328780185e+01, 8.75455264266801134e-03,-2.02862805351229056e+01
 2.20000000000000018e+00,-1.40563022942683256e-07,-8.80156029708316225e+01, 8.75408642585872969e-03,-2.02856065636259260e+01
 2.30000000000000027e+00,-1.40582649699795731e-07,-8.80156072052533034e+01, 8.75362015603347449e-03,-2.02849238353412495e+01
 2.40000000000000036e+00,-1.40602267519251069e-07,-8.80156114379072250e+01, 8.75315383319817675e-03,-2.02842323420039214e+01
 2.50000000000000000e+00,-1.40621876400970177e-07,-8.80156156687933731e+01, 8.75268745735840840e-03,-2.02835320753289459e+01
 2.60000000000000009e+00,-1.40641476345226914e-07,-8.80156198979117619e+01, 8.75222102851938230e-03,-2.02828230270112435e+01
 2.70000000000000018e+00,-1.40661067352224486e-07,-8.80156241252623914e+01, 8.75175454668597301e-03,-2.02821051887256090e+01
 2.80000000000000027e+00,-1.40680649421883776e-07,-8.80156283508452475e+01, 8.75128801186271336e-03,-2.02813785521266503e+01
 2.90000000000000036e+00,-1.40700222554478587e-07,-8.80156325746603301e+01, 8.75082142405382221e-03,-2.02806431088487571e+01
 3.00000000000000000e+00,-1.40719786750070965e-07,-8.80156367967076534e+01, 8.75035478326320441e-03,-2.02798988505060436e+01
 3.10000000000000009e+00,-1.40739342008864091e-07,-8.80156410169872174e+01, 8.74988808949446820e-03,-2.02791457686923060e+01
