"engine.time","0.ikr.IKr","0.membrane.V","1.ikr.IKr","1.membrane.V","2.ikr.IKr","2.membrane.V","3.ikr.IKr","3.membrane.V","4.ikr.IKr","4.membrane.V","5.ikr.IKr","5.membrane.V","6.ikr.IKr","6.membrane.V"
 0.00000000000000000e+00,-7.16624515403272003e-07,-8.79360598999692940e+01,-7.62905736840580870e-07,-8.79357811275847467e+01,-8.09558358110379064e-07,-8.79351476904068932e+01,-8.42899027856258382e-07,-8.79345902183844288e+01,-8.64474847201222912e-07,-8.79340034704410130e+01,-8.74728752198300654e-07,-8.79333768258047570e+01,-8.76255618111052503e-07,-8.79326893625911339e+01
 1.00000000000000006e-01,-7.16624405814484077e-07,-8.79360662150514543e+01,-7.62953402310264666e-07,-8.79357876433217029e+01,-8.09609884569231986e-07,-8.79351545196432767e+01,-8.42956718617009429e-07,-8.79345973716334157e+01,-8.64536970462627801e-07,-8.79340109868602013e+01,-8.74796501251019469e-07,-8.79333847542273475e+01,-8.76328190268893956e-07,-8.79326977852146143e+01
 2.00000000000000011e-01,-7.16624368606776641e-07,-8.79360725277902162e+01,-7.63001045523784762e-07,-8.79357941562883383e+01,-8.09661390851381163e-07,-8.79351613458974981e+01,-8.43014384463072274e-07,-8.79346045218267847e+01,-8.64599058465884979e-07,-8.79340185001266690e+01,-8.74864216227577193e-07,-8.79333926792857881e+01,-8.76400728930479966e-07,-8.79327062040646581e+01
 3.00000000000000044e-01,-7.16624325804518021e-07,-8.79360788405289924e+01,-7.63048666493437321e-07,-8.79358006664865002e+01,-8.09712876970572563e-07,-8.79351681691711491e+01,-8.43072025391868972e-07,-8.79346116689663688e+01,-8.64661111192027473e-07,-8.79340260102426043e+01,-8.74931897129031559e-07,-8.79334006009823668e+01,-8.76473234104396908e-07,-8.79327146191431979e+01
 4.00000000000000022e-01,-7.16624277407603078e-07,-8.79360851532677685e+01,-7.63096265230847025e-07,-8.79358071739180218e+01,-8.09764342941029564e-07,-8.79351749894658070e+01,-8.43129641401817158e-07,-8.79346188130540440e+01,-8.64723128622330559e-07,-8.79340335172102101e+01,-8.74999543957093573e-07,-8.79334085193193999e+01,-8.76545705798290630e-07,-8.79327230304521095e+01
 5.00000000000000000e-01,-7.16624223415927522e-07,-8.79360914660065305e+01,-7.63143841747973238e-07,-8.79358136785847648e+01,-8.09815788776733926e-07,-8.79351818067830493e+01,-8.43187232490200717e-07,-8.79346259540916435e+01,-8.64785110737923404e-07,-8.79340410210316890e+01,-8.75067156713204461e-07,-8.79334164342992040e+01,-8.76618144020603615e-07,-8.79327314379933256e+01
 6.00000000000000089e-01,-7.16624163829700675e-07,-8.79360977787453066e+01,-7.63191396056885649e-07,-8.79358201804885624e+01,-8.09867214491547451e-07,-8.79351886211244675e+01,-8.43244798655174598e-07,-8.79346330920810288e+01,-8.64847057520048249e-07,-8.79340485217092436e+01,-8.75134735398930706e-07,-8.79334243459240668e+01,-8.76690548778704520e-07,-8.79327398417687078e+01
 7.00000000000000067e-01,-7.16624098648817613e-07,-8.79361040914840828e+01,-7.63238928169430650e-07,-8.79358266796312620e+01,-8.09918620099688643e-07,-8.79351954324916392e+01,-8.43302339894510999e-07,-8.79346402270240617e+01,-8.64908968949542353e-07,-8.79340560192450766e+01,-8.75202280015832542e-07,-8.79334322541963047e+01,-8.76762920081160237e-07,-8.79327482417801889e+01
 8.00000000000000044e-01,-7.16624027873278651e-07,-8.79361104042228447e+01,-7.63286438097564534e-07,-8.79358331760146967e+01,-8.09970005615015493e-07,-8.79352022408861274e+01,-8.43359856206101655e-07,-8.79346473589225752e+01,-8.64970845007615346e-07,-8.79340635136413766e+01,-8.75269790565200000e-07,-8.79334401591182342e+01,-8.76835257935729799e-07,-8.79327566380296446e+01
 9.00000000000000022e-01,-7.16623951503083473e-07,-8.79361167169616209e+01,-7.63333925853355721e-07,-8.79358396696407283e+01,-8.10021371051504891e-07,-8.79352090463095237e+01,-8.43417347587330504e-07,-8.79346544877784169e+01,-8.65032685675459075e-07,-8.79340710049003746e+01,-8.75337267048712535e-07,-8.79334480606921574e+01,-8.76907562350702907e-07,-8.79327650305190076e+01
 1.00000000000000000e+00,-7.16623869538336898e-07,-8.79361230297003971e+01,-7.63381391448423809e-07,-8.79358461605111756e+01,-8.10072716423370472e-07,-8.79352158487634199e+01,-8.43474814036702534e-07,-8.79346616135934624e+01,-8.65094490933732495e-07,-8.79340784930242307e+01,-8.75404709467647048e-07,-8.79334559589203621e+01,-8.76979833333695656e-07,-8.79327734192501538e+01
