"engine.time","0.ikr.IKr","0.membrane.V","1.ikr.IKr","1.membrane.V"
 0.00000000000000000e+00,-7.15830350860234879e-07,-8.79361942333298998e+01,-7.15838443789574785e-07,-8.79361940233951174e+01
 1.00000000000000006e-01,-7.15874462547960970e-07,-8.79362006209991307e+01,-7.15882532556773869e-07,-8.79362004252213723e+01
 2.00000000000000011e-01,-7.15918574092366438e-07,-8.79362070086683616e+01,-7.15926602137837501e-07,-8.79362068242503341e+01
 3.00000000000000044e-01,-7.15962685493659972e-07,-8.79362133963375925e+01,-7.15970652547498758e-07,-8.79362132204832676e+01
 4.00000000000000022e-01,-7.16006796751946817e-07,-8.79362197840068234e+01,-7.16014683799974984e-07,-8.79362196139214092e+01
 5.00000000000000000e-01,-7.16050907867226336e-07,-8.79362261716760543e+01,-7.16058695909911060e-07,-8.79362260045660378e+01
 6.00000000000000089e-01,-7.16094954254129710e-07,-8.79362325503033588e+01,-7.16102688891855095e-07,-8.79362323924184039e+01
 7.00000000000000067e-01,-7.16138958294529116e-07,-8.79362389230221027e+01,-7.16146662760363668e-07,-8.79362387774797867e+01
 8.00000000000000044e-01,-7.16182962192688186e-07,-8.79362452957408465e+01,-7.16190617529687790e-07,-8.79362451597514081e+01
 9.00000000000000022e-01,-7.16226965948502522e-07,-8.79362516684595903e+01,-7.16234553214818991e-07,-8.79362515392345614e+01
 1.00000000000000000e+00,-7.16270969561972018e-07,-8.79362580411783341e+01,-7.16278469829920086e-07,-8.79362579159304829e+01
 1.10000000000000009e+00,-7.16314953617931136e-07,-8.79362644111797067e+01,-7.16322367389580795e-07,-8.79362642898404374e+01
 1.20000000000000018e+00,-7.16358856341380400e-07,-8.79362707698175825e+01,-7.16366245908398670e-07,-8.79362706609656755e+01
 1.30000000000000004e+00,-7.16402745748653817e-07,-8.79362771266114862e+01,-7.16410105400980055e-07,-8.79362770293074476e+01
 1.40000000000000013e+00,-7.16446621839682777e-07,-8.79362834815614463e+01,-7.16453945881938702e-07,-8.79362833948670328e+01
 1.50000000000000000e+00,-7.16490484614503174e-07,-8.79362898346674342e+01,-7.16497767365478825e-07,-8.79362897576456533e+01
 1.60000000000000009e+00,-7.16534334073569122e-07,-8.79362961859294643e+01,-7.16541569866544414e-07,-8.79362961176446021e+01
 1.70000000000000018e+00,-7.16578170216916622e-07,-8.79363025353475365e+01,-7.16585353399251485e-07,-8.79363024748650872e+01
 1.80000000000000004e+00,-7.16621993044372030e-07,-8.79363088829216366e+01,-7.16629117978769446e-07,-8.79363088293084019e+01
 1.90000000000000013e+00,-7.16665802556389569e-07,-8.79363152286517789e+01,-7.16672863619334908e-07,-8.79363151809757824e+01
 2.00000000000000000e+00,-7.16709598753214136e-07,-8.79363215725379774e+01,-7.16716590335401641e-07,-8.79363215298684793e+01
 2.10000000000000009e+00,-7.16753381634567377e-07,-8.79363279145801897e+01,-7.16760298141850003e-07,-8.79363278759877431e+01
 2.20000000000000018e+00,-7.16797151201112516e-07,-8.79363342547784583e+01,-7.16803987053149647e-07,-8.79363342193348387e+01
 2.30000000000000027e+00,-7.16840907452675914e-07,-8.79363405931327691e+01,-7.16847657083674190e-07,-8.79363405599109882e+01
 2.40000000000000036e+00,-7.16884650389292932e-07,-8.79363469296431077e+01,-7.16891308248223312e-07,-8.79363468977174705e+01
 2.50000000000000000e+00,-7.16928368923301234e-07,-8.79363532627591979e+01,-7.16934940561500127e-07,-8.79363532327555220e+01
 2.60000000000000009e+00,-7.16972051143667928e-07,-8.79363595908156412e+01,-7.16978554038006793e-07,-8.79363595650264074e+01
 2.70000000000000018e+00,-7.17015715670215579e-07,-8.79363659164157667e+01,-7.17022148692253301e-07,-8.79363658945313489e+01
 2.80000000000000027e+00,-7.17059362503024762e-07,-8.79363722395595602e+01,-7.17065724538862404e-07,-8.79363722212716112e+01
 2.90000000000000036e+00,-7.17102991642385267e-07,-8.79363785602470358e+01,-7.17109281592568877e-07,-8.79363785452484308e+01
 3.00000000000000000e+00,-7.17146603088482278e-07,-8.79363848784781936e+01,-7.17152819867906851e-07,-8.79363848664630723e+01
 3.10000000000000009e+00,-7.17190196841500659e-07,-8.79363911942530336e+01,-7.17196339379627512e-07,-8.79363911849167721e+01
 3.20000000000000018e+00,-7.17233772901416376e-07,-8.79363975075715416e+01,-7.17239840142175841e-07,-8.79363975006107665e+01
 3.30000000000000027e+00,-7.17277331268832515e-07,-8.79364038184337318e+01,-7.17283322170318587e-07,-8.79364038135463204e+01
 3.40000000000000036e+00,-7.17320871943620223e-07,-8.79364101268396041e+01,-7.17326785478516933e-07,-8.79364101237246700e+01
 3.50000000000000000e+00,-7.17364394925963941e-07,-8.79364164327891586e+01,-7.17370230081762513e-07,-8.79364164311470660e+01
 3.60000000000000009e+00,-7.17407900216153036e-07,-8.79364227362823812e+01,-7.17413655994218144e-07,-8.79364227358147303e+01
 3.70000000000000018e+00,-7.17451387814372268e-07,-8.79364290373192858e+01,-7.17457063231100771e-07,-8.79364290377289421e+01
 3.80000000000000027e+00,-7.17494857720805653e-07,-8.79364353358998727e+01,-7.17500451806484164e-07,-8.79364353368909093e+01
 3.90000000000000036e+00,-7.17538304881021567e-07,-8.79364416313190134e+01,-7.17543821735496121e-07,-8.79364416333018966e+01
 4.00000000000000000e+00,-7.17581728305476310e-07,-8.79364479234386209e+01,-7.17587173032435404e-07,-8.79364479269631403e+01
 4.10000000000000053e+00,-7.17625132639046361e-07,-8.79364542129066393e+01,-7.17630505712236157e-07,-8.79364542178758910e+01
 4.20000000000000018e+00,-7.17668517881825316e-07,-8.79364604997230828e+01,-7.17673819789317105e-07,-8.79364605060413709e+01
 4.29999999999999982e+00,-7.17711884034428969e-07,-8.79364667838879512e+01,-7.17717115278732564e-07,-8.79364667914608304e+01
 4.40000000000000036e+00,-7.17755231096532376e-07,-8.79364730654012305e+01,-7.17760392194707816e-07,-8.79364730741355061e+01
 4.50000000000000000e+00,-7.17798559068751331e-07,-8.79364793442629349e+01,-7.17803650552312427e-07,-8.79364793540666483e+01
 4.60000000000000053e+00,-7.17841867950969790e-07,-8.79364856204730643e+01,-7.17846890365996458e-07,-8.79364856312554792e+01
 4.70000000000000018e+00,-7.17885157743489403e-07,-8.79364918940316045e+01,-7.17890111650530684e-07,-8.79364919057032637e+01
 4.80000000000000071e+00,-7.17928428446821777e-07,-8.79364981649385697e+01,-7.17933314420590056e-07,-8.79364981774112096e+01
 4.90000000000000036e+00,-7.17971680060640699e-07,-8.79365044331939600e+01,-7.17976498690856195e-07,-8.79365044463805674e+01
 5.00000000000000000e+00,-7.18014912585457565e-07,-8.79365106987977612e+01,-7.18019664476123697e-07,-8.79365107126125878e+01
 5.10000000000000053e+00,-7.18058126021259882e-07,-8.79365169617499873e+01,-7.18062811790984928e-07,-8.79365169761084928e+01
 5.20000000000000018e+00,-7.18101320368558410e-07,-8.79365232220506385e+01,-7.18105940650249623e-07,-8.79365232368695189e+01
 5.30000000000000071e+00,-7.18144493775148533e-07,-8.79365294794431804e+01,-7.18149051068525608e-07,-8.79365294948969023e+01
 5.40000000000000036e+00,-7.18187646771277641e-07,-8.79365357340010121e+01,-7.18192143060637652e-07,-8.79365357501918794e+01
 5.50000000000000000e+00,-7.18230780286266342e-07,-8.79365419858528412e+01,-7.18235216641208826e-07,-8.79365420027556866e+01
 5.60000000000000053e+00,-7.18273894320209506e-07,-8.79365482349986394e+01,-7.18278271825078831e-07,-8.79365482525895601e+01
 5.70000000000000018e+00,-7.18316988873411746e-07,-8.79365544814384208e+01,-7.18321308626990698e-07,-8.79365544996947364e+01
 5.80000000000000071e+00,-7.18360063946281755e-07,-8.79365607251721997e+01,-7.18364327061485124e-07,-8.79365607440724375e+01
 5.90000000000000036e+00,-7.18403119538600894e-07,-8.79365669661999476e+01,-7.18407327143424890e-07,-8.79365669857238998e+01
 6.00000000000000000e+00,-7.18446155651091681e-07,-8.79365732045216930e+01,-7.18450308887574945e-07,-8.79365732246503597e+01
 6.10000000000000053e+00,-7.18489172283325623e-07,-8.79365794401374075e+01,-7.18493272308708391e-07,-8.79365794608530393e+01
 6.20000000000000018e+00,-7.18532169436025346e-07,-8.79365856730471194e+01,-7.18536217421500498e-07,-8.79365856943331892e+01
