"engine.time","0.ikr.IKr","0.membrane.V","1.ikr.IKr","1.membrane.V"
 0.00000000000000000e+00,-7.14441589300615994e-07,-8.79361804298899301e+01,-7.14840845387336476e-07,-8.79361802204209795e+01
 1.00000000000000006e-01,-7.14485775356079271e-07,-8.79361868206608506e+01,-7.14885240145715987e-07,-8.79361866242498422e+01
 2.00000000000000011e-01,-7.14529961283535012e-07,-8.79361932114317710e+01,-7.14929606466952704e-07,-8.79361930252842683e+01
 3.00000000000000044e-01,-7.14574147083087613e-07,-8.79361996022026915e+01,-7.14973944290377362e-07,-8.79361994235255651e+01
 4.00000000000000022e-01,-7.14618332754841683e-07,-8.79362059929736120e+01,-7.15018253555351615e-07,-8.79362058189750684e+01
 5.00000000000000000e-01,-7.14662518298692719e-07,-8.79362123837445324e+01,-7.15062534200953570e-07,-8.79362122116340572e+01
 6.00000000000000089e-01,-7.14706645223165843e-07,-8.79362187653307643e+01,-7.15106786165873394e-07,-8.79362186015038674e+01
 7.00000000000000067e-01,-7.14750734787002273e-07,-8.79362251410701816e+01,-7.15151009388516863e-07,-8.79362249885858063e+01
 8.00000000000000044e-01,-7.14794824225116674e-07,-8.79362315168095989e+01,-7.15195203807318657e-07,-8.79362313728811955e+01
 9.00000000000000022e-01,-7.14838913537509256e-07,-8.79362378925490162e+01,-7.15239369359696172e-07,-8.79362377543913141e+01
 1.00000000000000000e+00,-7.14883002724179914e-07,-8.79362442682884335e+01,-7.15283505983512870e-07,-8.79362441331175120e+01
 1.10000000000000009e+00,-7.14927074087337551e-07,-8.79362506414588410e+01,-7.15327613616136594e-07,-8.79362505090610682e+01
 1.20000000000000018e+00,-7.14971075513258064e-07,-8.79362570044953600e+01,-7.15371692194334534e-07,-8.79362568822233186e+01
 1.30000000000000004e+00,-7.15015064033080072e-07,-8.79362633656765098e+01,-7.15415741655004853e-07,-8.79362632526055563e+01
 1.40000000000000013e+00,-7.15059039646918455e-07,-8.79362697250022904e+01,-7.15459761934443792e-07,-8.79362696202091030e+01
 1.50000000000000000e+00,-7.15103002354992172e-07,-8.79362760824727019e+01,-7.15503752968972789e-07,-8.79362759850352660e+01
 1.60000000000000009e+00,-7.15146952157625105e-07,-8.79362824380877299e+01,-7.15547714694206013e-07,-8.79362823470853385e+01
 1.70000000000000018e+00,-7.15190889054827420e-07,-8.79362887918473888e+01,-7.15591647045885955e-07,-8.79362887063606564e+01
 1.80000000000000004e+00,-7.15234813047026550e-07,-8.79362951437516784e+01,-7.15635549959256311e-07,-8.79362950628624986e+01
 1.90000000000000013e+00,-7.15278724134337374e-07,-8.79363014938005847e+01,-7.15679423369060710e-07,-8.79363014165922010e+01
 2.00000000000000000e+00,-7.15322622317187433e-07,-8.79363078419941360e+01,-7.15723267210378736e-07,-8.79363077675510709e+01
 2.10000000000000009e+00,-7.15366507595377355e-07,-8.79363141883323038e+01,-7.15767081417266332e-07,-8.79363141157404016e+01
 2.20000000000000018e+00,-7.15410379969439184e-07,-8.79363205328150883e+01,-7.15810865923905756e-07,-8.79363204611615004e+01
 2.30000000000000027e+00,-7.15454239439591348e-07,-8.79363268754425178e+01,-7.15854620664185875e-07,-8.79363268038156889e+01
 2.40000000000000036e+00,-7.15498055289704439e-07,-8.79363332122645147e+01,-7.15898345571388974e-07,-8.79363331437042604e+01
 2.50000000000000000e+00,-7.15541852676081749e-07,-8.79363395465161091e+01,-7.15942040578816820e-07,-8.79363394808285221e+01
