"engine.time","0.ikr.IKr","0.membrane.V","1.ikr.IKr","1.membrane.V"
 0.00000000000000000e+00,-7.10611215961000643e-07,-8.79361439401350680e+01,-7.10614117253096714e-07,-8.79361441312584162e+01
 1.00000000000000006e-01,-7.10655140652687946e-07,-8.79361503373759774e+01,-7.10658135454598768e-07,-8.79361505423206182e+01
 2.00000000000000011e-01,-7.10699065200949700e-07,-8.79361567346168869e+01,-7.10702133596874935e-07,-8.79361569505758069e+01
 3.00000000000000044e-01,-7.10742989606201483e-07,-8.79361631318578105e+01,-7.10746111688554363e-07,-8.79361633560252329e+01
 4.00000000000000022e-01,-7.10786913867923638e-07,-8.79361695290987200e+01,-7.10790069738370915e-07,-8.79361697586701183e+01
 5.00000000000000000e-01,-7.10830837986427874e-07,-8.79361759263396436e+01,-7.10834007754851989e-07,-8.79361761585117137e+01
 6.00000000000000089e-01,-7.10874697236199429e-07,-8.79361823144622861e+01,-7.10877925746733778e-07,-8.79361825555512553e+01
 7.00000000000000067e-01,-7.10918514865840651e-07,-8.79361886967417519e+01,-7.10921823722857823e-07,-8.79361889497899796e+01
 8.00000000000000044e-01,-7.10962332353036659e-07,-8.79361950790212319e+01,-7.10965701691442778e-07,-8.79361953412291086e+01
 9.00000000000000022e-01,-7.11006149697787666e-07,-8.79362014613007119e+01,-7.11009559661332303e-07,-8.79362017298698788e+01
 1.00000000000000000e+00,-7.11049966899781540e-07,-8.79362078435801777e+01,-7.11053397641163170e-07,-8.79362081157135407e+01
 1.10000000000000009e+00,-7.11093763845730199e-07,-8.79362142230267665e+01,-7.11097215639365791e-07,-8.79362144987613021e+01
 1.20000000000000018e+00,-7.11137480887042408e-07,-8.79362205912393051e+01,-7.11141013664786896e-07,-8.79362208790144138e+01
 1.30000000000000004e+00,-7.11181184672478515e-07,-8.79362269576047879e+01,-7.11184791725962672e-07,-8.79362272564740977e+01
 1.40000000000000013e+00,-7.11224875202076108e-07,-8.79362333221232149e+01,-7.11228549831430363e-07,-8.79362336311415902e+01
 1.50000000000000000e+00,-7.11268552475977384e-07,-8.79362396847945860e+01,-7.11272287989936749e-07,-8.79362400030181277e+01
 1.60000000000000009e+00,-7.11312216494427875e-07,-8.79362460456188870e+01,-7.11316006209917009e-07,-8.79362463721049181e+01
 1.70000000000000018e+00,-7.11355867257361513e-07,-8.79362524045961322e+01,-7.11359704500119721e-07,-8.79362527384032120e+01
 1.80000000000000004e+00,-7.11399504765127698e-07,-8.79362587617263216e+01,-7.11403382868982711e-07,-8.79362591019142315e+01
 1.90000000000000013e+00,-7.11443129017868205e-07,-8.79362651170094551e+01,-7.11447041325360543e-07,-8.79362654626392128e+01
 2.00000000000000000e+00,-7.11486740015516645e-07,-8.79362714704455186e+01,-7.11490679877381134e-07,-8.79362718205793499e+01
 2.10000000000000009e+00,-7.11530337758526499e-07,-8.79362778220345405e+01,-7.11534298534213509e-07,-8.79362781757359073e+01
 2.20000000000000018e+00,-7.11573922246623434e-07,-8.79362841717764923e+01,-7.11577897304091569e-07,-8.79362845281101073e+01
 2.30000000000000027e+00,-7.11617493480364693e-07,-8.79362905196713882e+01,-7.11621476195458222e-07,-8.79362908777031436e+01
 2.40000000000000036e+00,-7.11661051459579704e-07,-8.79362968657192283e+01,-7.11665035217277723e-07,-8.79362972245162808e+01
 2.50000000000000000e+00,-7.11704583010163656e-07,-8.79363032080662919e+01,-7.11708574377787150e-07,-8.79363035685507128e+01
 2.60000000000000009e+00,-7.11748080375594553e-07,-8.79363095456211710e+01,-7.11752093685744824e-07,-8.79363099098076759e+01
 2.70000000000000018e+00,-7.11791560126999135e-07,-8.79363158807154832e+01,-7.11795593149493807e-07,-8.79363162482883922e+01
 2.80000000000000027e+00,-7.11835022264564701e-07,-8.79363222133492144e+01,-7.11839072777898617e-07,-8.79363225839940839e+01
 2.90000000000000036e+00,-7.11878466788582102e-07,-8.79363285435223929e+01,-7.11882532579408513e-07,-8.79363289169259872e+01
 3.00000000000000000e+00,-7.11921893699342294e-07,-8.79363348712349904e+01,-7.11925972562473919e-07,-8.79363352470852959e+01
 3.10000000000000009e+00,-7.11965302996719915e-07,-8.79363411964870210e+01,-7.11969392735650186e-07,-8.79363415744732322e+01
 3.20000000000000018e+00,-7.12008694681110107e-07,-8.79363475192784847e+01,-7.12012793107701670e-07,-8.79363478990910465e+01
 3.30000000000000027e+00,-7.12052068752595137e-07,-8.79363538396093816e+01,-7.12056173686874130e-07,-8.79363542209399327e+01
 3.40000000000000036e+00,-7.12095425211673803e-07,-8.79363601574797116e+01,-7.12099534481933723e-07,-8.79363605400211128e+01
 3.50000000000000000e+00,-7.12138764058012584e-07,-8.79363664728894747e+01,-7.12142875501232087e-07,-8.79363668563358090e+01
 3.60000000000000009e+00,-7.12182085292109855e-07,-8.79363727858386568e+01,-7.12186196753433734e-07,-8.79363731698852291e+01
 3.70000000000000018e+00,-7.12225388914255723e-07,-8.79363790963272862e+01,-7.12229498246996182e-07,-8.79363794806706096e+01
 3.80000000000000027e+00,-7.12268674924429013e-07,-8.79363854043553346e+01,-7.12272779990689822e-07,-8.79363857886931584e+01
 3.90000000000000036e+00,-7.12311936975650386e-07,-8.79363917090318097e+01,-7.12316041992662369e-07,-8.79363920939540833e+01
 4.00000000000000000e+00,-7.12355176567727623e-07,-8.79363980105672027e+01,-7.12359284261582360e-07,-8.79363983964545923e+01
 4.10000000000000053e+00,-7.12398397154126388e-07,-8.79364043094462886e+01,-7.12402506806014885e-07,-8.79364046961959218e+01
 4.20000000000000018e+00,-7.12441598734942502e-07,-8.79364106056690531e+01,-7.12445709634526942e-07,-8.79364109931792797e+01
 4.29999999999999982e+00,-7.12484781310271679e-07,-8.79364168992354820e+01,-7.12488892755477580e-07,-8.79364172874058738e+01
 4.40000000000000036e+00,-7.12527944880625634e-07,-8.79364231901456037e+01,-7.12532056177331412e-07,-8.79364235788769122e+01
 4.50000000000000000e+00,-7.12571089446099656e-07,-8.79364294783993898e+01,-7.12575199908865923e-07,-8.79364298675936169e+01
 4.60000000000000053e+00,-7.12614215006685701e-07,-8.79364357639968688e+01,-7.12618323958235392e-07,-8.79364361535571817e+01
 4.70000000000000018e+00,-7.12657321562790554e-07,-8.79364420469380121e+01,-7.12661428334323079e-07,-8.79364424367688429e+01
 4.80000000000000071e+00,-7.12700409114613693e-07,-8.79364483272228483e+01,-7.12704513045285487e-07,-8.79364487172297942e+01
 4.90000000000000036e+00,-7.12743477662146541e-07,-8.79364546048513489e+01,-7.12747578099695753e-07,-8.79364549949412577e+01
 5.00000000000000000e+00,-7.12786527205899753e-07,-8.79364608798235423e+01,-7.12790623506231837e-07,-8.79364612699044272e+01
 5.10000000000000053e+00,-7.12829557745760569e-07,-8.79364671521394001e+01,-7.12833649272949551e-07,-8.79364675421205106e+01
 5.20000000000000018e+00,-7.12872569282239748e-07,-8.79364734217989508e+01,-7.12876655408736176e-07,-8.79364738115907301e+01
 5.30000000000000071e+00,-7.12915559410427582e-07,-8.79364796884672018e+01,-7.12919641922065325e-07,-8.79364800783162934e+01
 5.40000000000000036e+00,-7.12958529707233029e-07,-8.79364859523637676e+01,-7.12962608821098688e-07,-8.79364863422983802e+01
 5.50000000000000000e+00,-7.13001480608422774e-07,-8.79364922135493288e+01,-7.13005556114519307e-07,-8.79364926035382268e+01
 5.60000000000000053e+00,-7.13044412114198836e-07,-8.79364984720238567e+01,-7.13048483810698726e-07,-8.79364988620370269e+01
 5.70000000000000018e+00,-7.13087324224970543e-07,-8.79365047277873941e+01,-7.13091391918218130e-07,-8.79365051177959884e+01
 5.80000000000000071e+00,-7.13130216940523808e-07,-8.79365109808398984e+01,-7.13134280445450652e-07,-8.79365113708163051e+01
 5.90000000000000036e+00,-7.13173090261475906e-07,-8.79365172311813978e+01,-7.13177149400771328e-07,-8.79365176210991990e+01
 6.00000000000000000e+00,-7.13215944187716193e-07,-8.79365234788118926e+01,-7.13219998792659278e-07,-8.79365238686458497e+01
 6.10000000000000053e+00,-7.13258778719758289e-07,-8.79365297237313683e+01,-7.13262828624052117e-07,-8.79365301134574651e+01
 6.20000000000000018e+00,-7.13301593857491021e-07,-8.79365359659398251e+01,-7.13305638896970230e-07,-8.79365363555352246e+01
 6.30000000000000071e+00,-7.13344389601323612e-07,-8.79365422054372772e+01,-7.13348429630905434e-07,-8.79365425948803647e+01
 6.40000000000000036e+00,-7.13387165951561098e-07,-8.79365484422237245e+01,-7.13391200834208203e-07,-8.79365488314940791e+01
 6.50000000000000000e+00,-7.13429922907988123e-07,-8.79365546762991386e+01,-7.13433952515229011e-07,-8.79365550653775614e+01
