"engine.time","0.ikr.IKr","0.membrane.V","1.ikr.IKr","1.membrane.V","2.ikr.IKr","2.membrane.V","3.ikr.IKr","3.membrane.V","4.ikr.IKr","4.membrane.V","5.ikr.IKr","5.membrane.V","6.ikr.IKr","6.membrane.V"
 0.00000000000000000e+00,-5.83928025277103756e-08,-8.79360598999692797e+01,-1.38232063121385069e-07,-8.79021940124237489e+01,-6.02873310667954023e-08,-8.79254547842567433e+01,-6.22299864789471411e-08,-8.79266520918518637e+01,-6.32691966684349967e-08,-8.79289340138503235e+01,-6.34506063920672954e-08,-8.79301109373886618e+01,-6.35540993756632708e-08,-8.79309298162411466e+01
 1.00000000000000006e-01,-5.83962020245799701e-08,-8.79360662481682596e+01,-1.38012287330340561e-07,-8.79022175357358151e+01,-6.02721015835961131e-08,-8.79254686773876557e+01,-6.22109525208020308e-08,-8.79266661450113958e+01,-6.32512593987964274e-08,-8.79289475105856155e+01,-6.34325638979655141e-08,-8.79301242362994913e+01,-6.35360423417628660e-08,-8.79309429871516812e+01
 2.00000000000000011e-01,-5.83996001293168824e-08,-8.79360725934533463e+01,-1.37792926520971285e-07,-8.79022410476080154e+01,-6.02569482832374330e-08,-8.79254825639209230e+01,-6.21920079880883291e-08,-8.79266801914212834e+01,-6.32333751820720398e-08,-8.79289610008250122e+01,-6.34145815876872260e-08,-8.79301375287786300e+01,-6.35180486884024587e-08,-8.79309561516712961e+01
 3.00000000000000044e-01,-5.84029982003544234e-08,-8.79360789387384472e+01,-1.37575519792562630e-07,-8.79022645467265136e+01,-6.02418713019094089e-08,-8.79254964438597852e+01,-6.21731528132064275e-08,-8.79266942310849657e+01,-6.32155438789892752e-08,-8.79289744845719099e+01,-6.33966593102377571e-08,-8.79301508148294175e+01,-6.35001182642371796e-08,-8.79309693098034302e+01
 4.00000000000000022e-01,-5.84063962376669440e-08,-8.79360852840235481e+01,-1.37359545705237618e-07,-8.79022880335449202e+01,-6.02268707776052619e-08,-8.79255103172074968e+01,-6.21543869297777157e-08,-8.79267082640058675e+01,-6.31977653514855485e-08,-8.79289879618297050e+01,-6.33787969151651697e-08,-8.79301640944551934e+01,-6.34822509178070689e-08,-8.79309824615514799e+01
 5.00000000000000000e-01,-5.84097942412800867e-08,-8.79360916293086490e+01,-1.37144061387527668e-07,-8.79023115088770766e+01,-6.02119468501223273e-08,-8.79255241839673261e+01,-6.21357102726968458e-08,-8.79267222901874277e+01,-6.31800394628024803e-08,-8.79290014326018081e+01,-6.33609942526121567e-08,-8.79301773676593115e+01,-6.34644464975642344e-08,-8.79309956069188701e+01
 6.00000000000000089e-01,-5.84131922111682155e-08,-8.79360979745937499e+01,-1.36929065682745950e-07,-8.79023349727294061e+01,-6.01970996610836006e-08,-8.79255380441425274e+01,-6.21171227780409015e-08,-8.79267363096330712e+01,-6.31623660773562609e-08,-8.79290148968916014e+01,-6.33432511732324097e-08,-8.79301906344451112e+01,-6.34467048518763054e-08,-8.79310087459090255e+01
 7.00000000000000067e-01,-5.84165901473399001e-08,-8.79361043198788508e+01,-1.36714557436504848e-07,-8.79023584251082752e+01,-6.01823293538793852e-08,-8.79255518977363408e+01,-6.20986243831732654e-08,-8.79267503223462086e+01,-6.31447450608628795e-08,-8.79290283547024956e+01,-6.33255675282425271e-08,-8.79302038948159037e+01,-6.34290258290028747e-08,-8.79310218785253568e+01
 8.00000000000000044e-01,-5.84199880497950941e-08,-8.79361106651639517e+01,-1.36500535496630048e-07,-8.79023818660200789e+01,-6.01676360737382179e-08,-8.79255657447520065e+01,-6.20802150266828710e-08,-8.79267643283302505e+01,-6.31271762802791622e-08,-8.79290418060378869e+01,-6.33079431694004272e-08,-8.79302171487750570e+01,-6.34114092771102292e-08,-8.79310350047712745e+01
 9.00000000000000022e-01,-5.84233859185423804e-08,-8.79361170104490526e+01,-1.36286998713168999e-07,-8.79024052954712118e+01,-6.01530199676687813e-08,-8.79255795851927928e+01,-6.20618946484165352e-08,-8.79267783275886359e+01,-6.31096596037856199e-08,-8.79290552509011576e+01,-6.32903779490243936e-08,-8.79302303963258822e+01,-6.33938550442555344e-08,-8.79310481246502036e+01
 1.00000000000000000e+00,-5.84267837535561163e-08,-8.79361233557341393e+01,-1.36073945938399549e-07,-8.79024287134680264e+01,-6.01384811845107917e-08,-8.79255934190619257e+01,-6.20436631894800309e-08,-8.79267923201247754e+01,-6.30921949008196278e-08,-8.79290686892956899e+01,-6.32728717200042189e-08,-8.79302436374717331e+01,-6.33763629783736783e-08,-8.79310612381655687e+01
 1.10000000000000009e+00,-5.84301815548704744e-08,-8.79361297010192402e+01,-1.35861376026958851e-07,-8.79024521200169175e+01,-6.01240198749066102e-08,-8.79256072463626452e+01,-6.20255205921882172e-08,-8.79268063059420655e+01,-6.30747820421287625e-08,-8.79290821212248801e+01,-6.32554243357078593e-08,-8.79302568722159066e+01,-6.33589329272905597e-08,-8.79310743453207522e+01
 1.20000000000000018e+00,-5.84335793224683485e-08,-8.79361360463043411e+01,-1.35649287835608307e-07,-8.79024755151242374e+01,-6.01096361913128500e-08,-8.79256210670981915e+01,-6.20074668001382158e-08,-8.79268202850439167e+01,-6.30574208996623815e-08,-8.79290955466921105e+01,-6.32380356501240134e-08,-8.79302701005617422e+01,-6.33415647386896171e-08,-8.79310874461191929e+01
 1.30000000000000004e+00,-5.84369770563497784e-08,-8.79361423915894420e+01,-1.35437680223454546e-07,-8.79024988987963525e+01,-6.00953302880012365e-08,-8.79256348812717903e+01,-6.19895017581486625e-08,-8.79268342574337396e+01,-6.30401113466648762e-08,-8.79291089657007632e+01,-6.32207055177598568e-08,-8.79302833225125653e+01,-6.33242582601264664e-08,-8.79311005405642732e+01
 1.40000000000000013e+00,-5.84403747565232542e-08,-8.79361487368745429e+01,-1.35226552051865826e-07,-8.79025222710395866e+01,-6.00811023210505736e-08,-8.79256486888866817e+01,-6.19716254123530528e-08,-8.79268482231149449e+01,-6.30228532576485801e-08,-8.79291223782542204e+01,-6.32034337936497638e-08,-8.79302965380717012e+01,-6.33070133390634836e-08,-8.79311136286594319e+01
 1.50000000000000000e+00,-5.84437724229717426e-08,-8.79361550821596438e+01,-1.35015902184540724e-07,-8.79025456318603062e+01,-6.00669524483576362e-08,-8.79256624899460917e+01,-6.19538377100482423e-08,-8.79268621820909289e+01,-6.30056465083557716e-08,-8.79291357843558643e+01,-6.31862203334070687e-08,-8.79303097472424611e+01,-6.32898298227860680e-08,-8.79311267104080798e+01
 1.60000000000000009e+00,-5.84471700557037670e-08,-8.79361614274447447e+01,-1.34805729487302971e-07,-8.79025689812648210e+01,-6.00528808296586372e-08,-8.79256762844532460e+01,-6.19361385998379659e-08,-8.79268761343650738e+01,-6.29884909758524826e-08,-8.79291491840090487e+01,-6.31690649931811190e-08,-8.79303229500281560e+01,-6.32727075584460919e-08,-8.79311397858135990e+01
 1.70000000000000018e+00,-5.84505676547278637e-08,-8.79361677727298456e+01,-1.34596032828564830e-07,-8.79025923192594973e+01,-6.00388876264611469e-08,-8.79256900724113564e+01,-6.19185280316040386e-08,-8.79268900799408044e+01,-6.29713865384405928e-08,-8.79291625772171557e+01,-6.31519676296583738e-08,-8.79303361464321256e+01,-6.32556463930285620e-08,-8.79311528548794001e+01
 1.80000000000000004e+00,-5.84539652200354897e-08,-8.79361741180149465e+01,-1.34386811078758897e-07,-8.79026156458506307e+01,-6.00249730021444669e-08,-8.79257038538236628e+01,-6.19010059564254503e-08,-8.79269040188214888e+01,-6.29543330757205494e-08,-8.79291759639835675e+01,-6.31349281000713504e-08,-8.79303493364576525e+01,-6.32386461734263838e-08,-8.79311659176089222e+01
 1.90000000000000013e+00,-5.84573627516181217e-08,-8.79361804633000332e+01,-1.34178063110889863e-07,-8.79026389610445591e+01,-6.00111371218720280e-08,-8.79257176286933628e+01,-6.18835723266817970e-08,-8.79269179510105232e+01,-6.29373304685844852e-08,-8.79291893443116521e+01,-6.31179462621770648e-08,-8.79303625201080479e+01,-6.32217067462940094e-08,-8.79311789740055332e+01
 2.00000000000000000e+00,-5.84607602495013560e-08,-8.79361868085851341e+01,-1.33969787799999877e-07,-8.79026622648475637e+01,-5.99973801526420537e-08,-8.79257313970236680e+01,-6.18662270959933265e-08,-8.79269318765113042e+01,-6.29203785991479661e-08,-8.79292027182047633e+01,-6.31010219743387571e-08,-8.79303756973866513e+01,-6.32048279581747975e-08,-8.79311920240726579e+01
 2.10000000000000009e+00,-5.84641577136595897e-08,-8.79361931538702351e+01,-1.33761984023746620e-07,-8.79026855572659684e+01,-5.99837022633088677e-08,-8.79257451588178185e+01,-6.18489702192424318e-08,-8.79269457953271996e+01,-6.29034773508841932e-08,-8.79292160856662548e+01,-6.30841550953925369e-08,-8.79303888682967312e+01,-6.31880096554339384e-08,-8.79312050678136927e+01
 2.20000000000000018e+00,-5.84675551441013659e-08,-8.79361994991553360e+01,-1.33554650661961709e-07,-8.79027088383060686e+01,-5.99701036244951740e-08,-8.79257589140789975e+01,-6.18318016525854038e-08,-8.79269597074616058e+01,-6.28866266085057487e-08,-8.79292294466995088e+01,-6.30673454847491461e-08,-8.79304020328416129e+01,-6.31712516842551459e-08,-8.79312181052320483e+01
 2.30000000000000027e+00,-5.84709525408352013e-08,-8.79362058444404369e+01,-1.33347786596807611e-07,-8.79027321079741455e+01,-5.99565844086922442e-08,-8.79257726628104166e+01,-6.18147213534327112e-08,-8.79269736129179051e+01,-6.28698262580475921e-08,-8.79292428013078791e+01,-6.30505930023624204e-08,-8.79304151910245793e+01,-6.31545538906651150e-08,-8.79312311363311210e+01
 2.40000000000000036e+00,-5.84743499038525858e-08,-8.79362121897255378e+01,-1.33141390712964334e-07,-8.79027553662764944e+01,-5.99431447902022005e-08,-8.79257864050152733e+01,-6.17977292804404905e-08,-8.79269875116994655e+01,-6.28530761868095545e-08,-8.79292561494947194e+01,-6.30338975087281245e-08,-8.79304283428489555e+01,-6.31379161204677181e-08,-8.79312441611143072e+01
 2.50000000000000000e+00,-5.84777472331449565e-08,-8.79362185350106387e+01,-1.32935461897308558e-07,-8.79027786132193683e+01,-5.99297849451884671e-08,-8.79258001406967935e+01,-6.17808253935724590e-08,-8.79270014038096548e+01,-6.28363762834095033e-08,-8.79292694912633976e+01,-6.30172588648447372e-08,-8.79304414883180101e+01,-6.31213382193209127e-08,-8.79312571795850175e+01
 2.60000000000000009e+00,-5.84811445287379427e-08,-8.79362248802957396e+01,-1.32729999039069919e-07,-8.79028018488090623e+01,-5.99165050515684221e-08,-8.79258138698581462e+01,-6.17640096540301004e-08,-8.79270152892518553e+01,-6.28197264377556679e-08,-8.79292828266172393e+01,-6.30006769323115217e-08,-8.79304546274350542e+01,-6.31048200326797922e-08,-8.79312701917466484e+01
 2.70000000000000018e+00,-5.84845417905973785e-08,-8.79362312255808263e+01,-1.32525001030106391e-07,-8.79028250730518295e+01,-5.99033052891931799e-08,-8.79258275925025430e+01,-6.17472820242644706e-08,-8.79270291680294349e+01,-6.28031265410397312e-08,-8.79292961555595980e+01,-6.29841515732391376e-08,-8.79304677602033848e+01,-6.30883614057831786e-08,-8.79312831976025819e+01
 2.80000000000000027e+00,-5.84879390187489066e-08,-8.79362375708659272e+01,-1.32320466764317512e-07,-8.79028482859539224e+01,-5.98901858396702573e-08,-8.79258413086331672e+01,-6.17306424680374224e-08,-8.79270430401457617e+01,-6.27865764858094890e-08,-8.79293094780938418e+01,-6.29676826502484229e-08,-8.79304808866262704e+01,-6.30719621836881390e-08,-8.79312961971562430e+01
 2.90000000000000036e+00,-5.84913362131924807e-08,-8.79362439161510281e+01,-1.32116395138274046e-07,-8.79028714875216082e+01,-5.98771468864742963e-08,-8.79258550182532161e+01,-6.17140909503625244e-08,-8.79270569056041893e+01,-6.27700761658711368e-08,-8.79293227942233102e+01,-6.29512700265393743e-08,-8.79304940067070078e+01,-6.30556222112242066e-08,-8.79313091904110138e+01
 3.00000000000000000e+00,-5.84947333739110739e-08,-8.79362502614361290e+01,-1.31912785050693425e-07,-8.79028946777610969e+01,-5.98641886149282177e-08,-8.79258687213658732e+01,-6.16976274375162850e-08,-8.79270707644081000e+01,-6.27536254763525064e-08,-8.79293361039513428e+01,-6.29349135658419667e-08,-8.79305071204488939e+01,-6.30393413330500915e-08,-8.79313221773703049e+01
 3.10000000000000009e+00,-5.84981305009302563e-08,-8.79362566067212299e+01,-1.31709635402917988e-07,-8.79029178566786413e+01,-5.98513112121552977e-08,-8.79258824179743215e+01,-6.16812518970696109e-08,-8.79270846165608333e+01,-6.27372243137055406e-08,-8.79293494072812649e+01,-6.29186131324037118e-08,-8.79305202278551974e+01,-6.30231193935468229e-08,-8.79313351580374842e+01
 3.20000000000000018e+00,-5.85015275942159081e-08,-8.79362629520063308e+01,-1.31506945098628569e-07,-8.79029410242804801e+01,-5.98385148671400085e-08,-8.79258961080817301e+01,-6.16649642978186422e-08,-8.79270984620657430e+01,-6.27208725756693413e-08,-8.79293627042164303e+01,-6.29023685910308324e-08,-8.79305333289292008e+01,-6.30069562369143764e-08,-8.79313481324159767e+01
 3.30000000000000027e+00,-5.85049246537936390e-08,-8.79362692972914317e+01,-1.31304713043880477e-07,-8.79029641805728232e+01,-5.98257997707388050e-08,-8.79259097916913106e+01,-6.16487646099065394e-08,-8.79271123009261970e+01,-6.27045701613424850e-08,-8.79293759947601785e+01,-6.28861798070368445e-08,-8.79305464236741869e+01,-6.29908517071260009e-08,-8.79313611005091502e+01
 3.40000000000000036e+00,-5.85083216796634290e-08,-8.79362756425765326e+01,-1.31102938147228269e-07,-8.79029873255618952e+01,-5.98131661155732659e-08,-8.79259234688062037e+01,-6.16324226074492689e-08,-8.79271261332903009e+01,-6.26883169711159883e-08,-8.79293892789158349e+01,-6.28700466463013866e-08,-8.79305595120934242e+01,-6.29748056478926166e-08,-8.79313740623204154e+01
 3.50000000000000000e+00,-5.85117186717996885e-08,-8.79362819878616193e+01,-1.30901619319557193e-07,-8.79030104592538919e+01,-5.98006140961989049e-08,-8.79259371394296068e+01,-6.16152502289451638e-08,-8.79271399595939442e+01,-6.26721129067260354e-08,-8.79294025566867390e+01,-6.28539689752311369e-08,-8.79305725941901954e+01,-6.29588179027292937e-08,-8.79313870178531545e+01
 3.60000000000000009e+00,-5.85151156302280204e-08,-8.79362883331467202e+01,-1.30700755474235653e-07,-8.79030335816550092e+01,-5.97867477553129507e-08,-8.79259508042823512e+01,-6.15981444164645931e-08,-8.79271537792762956e+01,-6.26559578712063857e-08,-8.79294158280762161e+01,-6.28379466607674765e-08,-8.79305856699677690e+01,-6.29428883148585716e-08,-8.79313999671107638e+01
 3.70000000000000018e+00,-5.85185125549569547e-08,-8.79362946784318211e+01,-1.30500345527181651e-07,-8.79030566927714574e+01,-5.97724324385574688e-08,-8.79259644629226216e+01,-6.15811049660550200e-08,-8.79271675923408367e+01,-6.26398517689218048e-08,-8.79294290930875775e+01,-6.28219795703474065e-08,-8.79305987394294135e+01,-6.29270167273069280e-08,-8.79314129100966255e+01
 3.80000000000000027e+00,-5.85219094459523518e-08,-8.79363010237169220e+01,-1.30300388396693587e-07,-8.79030797926094323e+01,-5.97581655461891331e-08,-8.79259781150979620e+01,-6.15641316743893751e-08,-8.79271813987909781e+01,-6.26237945056000801e-08,-8.79294423517241768e+01,-6.28060675720023600e-08,-8.79306118025784116e+01,-6.29112029828291021e-08,-8.79314258468141503e+01
 3.90000000000000036e+00,-5.85253063032398213e-08,-8.79363073690020229e+01,-1.30100883003429141e-07,-8.79031028811750872e+01,-5.97439470092224568e-08,-8.79259917608116552e+01,-6.15472243387572024e-08,-8.79271951986301872e+01,-6.26077859882851159e-08,-8.79294556039893109e+01,-6.27902105342468831e-08,-8.79306248594179891e+01,-6.28954469239125278e-08,-8.79314387772667061e+01
 4.00000000000000000e+00,-5.85287031268108267e-08,-8.79363137142871238e+01,-1.29901828270644529e-07,-8.79031259584746181e+01,-5.97297767596458560e-08,-8.79260054000670124e+01,-6.15303827570957086e-08,-8.79272089918619031e+01,-6.25918261253395016e-08,-8.79294688498863053e+01,-6.27744083261794851e-08,-8.79306379099514572e+01,-6.28797483927738135e-08,-8.79314517014576893e+01
 4.10000000000000053e+00,-5.85320999166738979e-08,-8.79363200595722247e+01,-1.29703223124054694e-07,-8.79031490245141782e+01,-5.97156547303044674e-08,-8.79260190328673019e+01,-6.15136067279602626e-08,-8.79272227784895790e+01,-6.25759148265073104e-08,-8.79294820894184852e+01,-6.27586608173605730e-08,-8.79306509541820418e+01,-6.28641072313918954e-08,-8.79314646193904821e+01
 4.20000000000000018e+00,-5.85354966728205050e-08,-8.79363264048573257e+01,-1.29505066491813291e-07,-8.79031720792999209e+01,-5.97015808549700688e-08,-8.79260326592158208e+01,-6.14968960504754523e-08,-8.79272365585166256e+01,-6.25600520028471051e-08,-8.79294953225891760e+01,-6.27429678779230287e-08,-8.79306639921129971e+01,-6.28485232814745137e-08,-8.79314775310684951e+01
 4.29999999999999982e+00,-5.85388751400636696e-08,-8.79363327098627110e+01,-1.29307357304604859e-07,-8.79031951228380279e+01,-5.96875550683219276e-08,-8.79260462791158517e+01,-6.14802505245062388e-08,-8.79272503319464960e+01,-6.25442375667440079e-08,-8.79295085494016604e+01,-6.27273293785511395e-08,-8.79306770237476201e+01,-6.28329963844028906e-08,-8.79314904364950820e+01
 4.40000000000000036e+00,-5.85421598028826090e-08,-8.79363388079573838e+01,-1.29110094495536555e-07,-8.79032181551346241e+01,-5.96735773059186508e-08,-8.79260598925706773e+01,-6.14636699504380320e-08,-8.79272640987826151e+01,-6.25284714319730028e-08,-8.79295217698592779e+01,-6.27117451903893963e-08,-8.79306900490891223e+01,-6.28175263813354255e-08,-8.79315033356736393e+01
 4.50000000000000000e+00,-5.85454444377369475e-08,-8.79363449060520566e+01,-1.28913277000317621e-07,-8.79032411761958343e+01,-5.96596475042674294e-08,-8.79260734995835804e+01,-6.14471541293484000e-08,-8.79272778590284076e+01,-6.25127535136314248e-08,-8.79295349839653113e+01,-6.26962151851831539e-08,-8.79307030681407724e+01,-6.28021136212904431e-08,-8.79315162285960099e+01
 4.60000000000000053e+00,-5.85487290446181156e-08,-8.79363510041467293e+01,-1.28716903757121187e-07,-8.79032641860278261e+01,-5.96457656007563292e-08,-8.79260871001578295e+01,-6.14307028629574382e-08,-8.79272916126873270e+01,-6.24970837282016532e-08,-8.79295481917231001e+01,-6.26807392351665582e-08,-8.79307160809058246e+01,-6.27867643983023104e-08,-8.79315291151188916e+01
 4.70000000000000018e+00,-5.85520136235432062e-08,-8.79363571022414021e+01,-1.28520973706564204e-07,-8.79032871846366959e+01,-5.96319315336945774e-08,-8.79261006942967072e+01,-6.14143159535689408e-08,-8.79273053597627836e+01,-6.24814619934741774e-08,-8.79295613931359128e+01,-6.26653172131132752e-08,-8.79307290873875189e+01,-6.27714718344784247e-08,-8.79315419953984190e+01
 4.80000000000000071e+00,-5.85552981745036561e-08,-8.79363632003360749e+01,-1.28325485791884556e-07,-8.79033101720285543e+01,-5.96181452423033250e-08,-8.79261142820034962e+01,-6.13979932041407696e-08,-8.79273191002582024e+01,-6.24658882286397778e-08,-8.79295745882070747e+01,-6.26499426818795847e-08,-8.79307420876020842e+01,-6.27562357738074668e-08,-8.79315548694378748e+01
 4.90000000000000036e+00,-5.85585826974909621e-08,-8.79363692984307477e+01,-1.28130438958833141e-07,-8.79033331482095406e+01,-5.96044066666874030e-08,-8.79261278632814367e+01,-6.13817344182762394e-08,-8.79273328341770224e+01,-6.24503623542226368e-08,-8.79295877769398686e+01,-6.26346190113140299e-08,-8.79307550815455699e+01,-6.27410560599976834e-08,-8.79315677372405560e+01
 5.00000000000000000e+00,-5.85618671925221641e-08,-8.79363753965254205e+01,-1.27935832155652403e-07,-8.79033561131857510e+01,-5.95907157479045814e-08,-8.79261414381338255e+01,-6.13655394001946162e-08,-8.79273465615226257e+01,-6.24348842921329473e-08,-8.79296009593376056e+01,-6.26193485630142683e-08,-8.79307680692161000e+01,-6.27259325364835837e-08,-8.79315805988097736e+01
 5.10000000000000053e+00,-5.85651516595972885e-08,-8.79363814946200932e+01,-1.27741664333110482e-07,-8.79033790669632538e+01,-5.95770724278881111e-08,-8.79261550065639028e+01,-6.13494079547520558e-08,-8.79273602822984657e+01,-6.24194539656494958e-08,-8.79296141354035825e+01,-6.26041312058292921e-08,-8.79307810506169005e+01,-6.27108650464093436e-08,-8.79315934541487820e+01
 5.20000000000000018e+00,-5.85684360987077789e-08,-8.79363875927147660e+01,-1.27547934444622308e-07,-8.79034020095481736e+01,-5.95634766495359477e-08,-8.79261685685749654e+01,-6.13333398874628716e-08,-8.79273739965079386e+01,-6.24040712994029067e-08,-8.79296273051410822e+01,-6.25889668091438148e-08,-8.79307940257512541e+01,-6.26958534326353165e-08,-8.79316063032608781e+01
 5.30000000000000071e+00,-5.85717205098451188e-08,-8.79363936908094388e+01,-1.27354641446056536e-07,-8.79034249409465787e+01,-5.95499283566034887e-08,-8.79261821241702393e+01,-6.13173350044496130e-08,-8.79273877041544552e+01,-6.23887362193976788e-08,-8.79296404685533872e+01,-6.25738552427970893e-08,-8.79308069946223867e+01,-6.26808975377523140e-08,-8.79316191461493730e+01
 5.40000000000000036e+00,-5.85750048930263546e-08,-8.79363997889041116e+01,-1.27161784295855792e-07,-8.79034478611645227e+01,-5.95364274938028160e-08,-8.79261956733530070e+01,-6.13013931124944560e-08,-8.79274014052414401e+01,-6.23734486530153350e-08,-8.79296536256437946e+01,-6.25587963770516201e-08,-8.79308199572335525e+01,-6.26659972040264564e-08,-8.79316319828175210e+01
 5.50000000000000000e+00,-5.85782892482344332e-08,-8.79364058869987701e+01,-1.26969361955127126e-07,-8.79034707702081022e+01,-5.95229740067346544e-08,-8.79262092161265230e+01,-6.12855140190099547e-08,-8.79274150997723041e+01,-6.23582085290469404e-08,-8.79296667764156012e+01,-6.25437900826732347e-08,-8.79308329135879774e+01,-6.26511522734354489e-08,-8.79316448132686190e+01
 5.60000000000000053e+00,-5.85815735754864342e-08,-8.79364119850934429e+01,-1.26777373387366220e-07,-8.79034936680833709e+01,-5.95095678419383211e-08,-8.79262227524940272e+01,-6.12696975320396498e-08,-8.79274287877504293e+01,-6.23430157776059638e-08,-8.79296799208720756e+01,-6.25288362308589134e-08,-8.79308458636889156e+01,-6.26363625876618722e-08,-8.79316576375059498e+01
 5.70000000000000018e+00,-5.85848578747823246e-08,-8.79364180831881157e+01,-1.26585817558802449e-07,-8.79035165547963686e+01,-5.94962089468535887e-08,-8.79262362824587882e+01,-6.12539434602895410e-08,-8.79274424691792404e+01,-6.23278703302510975e-08,-8.79296930590165005e+01,-6.25139346932869898e-08,-8.79308588075396074e+01,-6.26216279880502085e-08,-8.79316704555327817e+01
 5.80000000000000071e+00,-5.85881421460965344e-08,-8.79364241812827885e+01,-1.26394693438235087e-07,-8.79035394303531632e+01,-5.94828972698603900e-08,-8.79262498060240318e+01,-6.12382516130781255e-08,-8.79274561440621341e+01,-6.23127721198687314e-08,-8.79297061908521584e+01,-6.24990853420759366e-08,-8.79308717451432642e+01,-6.26069483156803875e-08,-8.79316832673524118e+01
 5.90000000000000036e+00,-5.85914263894631768e-08,-8.79364302793774613e+01,-1.26203999996928377e-07,-8.79035622947597659e+01,-5.94696327602506475e-08,-8.79262633231930266e+01,-6.12226218003977285e-08,-8.79274698124025065e+01,-6.22977210807856881e-08,-8.79297193163823181e+01,-6.24842880498125697e-08,-8.79308846765031547e+01,-6.25923234112435115e-08,-8.79316960729680943e+01
 6.00000000000000000e+00,-5.85947106048652117e-08,-8.79364363774721340e+01,-1.26013736208925045e-07,-8.79035851480222306e+01,-5.94564153682092751e-08,-8.79262768339690126e+01,-6.12070538328552904e-08,-8.79274834742037541e+01,-6.22827171487020685e-08,-8.79297324356102763e+01,-6.24695426895327781e-08,-8.79308976016224761e+01,-6.25777531151769034e-08,-8.79317088723831262e+01
 6.10000000000000053e+00,-5.85979947923026060e-08,-8.79364424755668068e+01,-1.25823901050744064e-07,-8.79036079901465683e+01,-5.94432450448933818e-08,-8.79262903383552299e+01,-6.11915475217129709e-08,-8.79274971294692875e+01,-6.22677602606641209e-08,-8.79297455485392732e+01,-6.24548491347386763e-08,-8.79309105205044830e+01,-6.25632372675387332e-08,-8.79317216656007759e+01
 6.20000000000000018e+00,-5.86012789517753862e-08,-8.79364485736614796e+01,-1.25634493501500693e-07,-8.79036308211387905e+01,-5.94301217423453517e-08,-8.79263038363549185e+01,-6.11761026788895792e-08,-8.79275107782024747e+01,-6.22528503552066084e-08,-8.79297586551725914e+01,-6.24402072593794400e-08,-8.79309234331523868e+01,-6.25487757080737951e-08,-8.79317344526243119e+01
 6.30000000000000071e+00,-5.86045630832835325e-08,-8.79364546717561524e+01,-1.25445512543021679e-07,-8.79036536410049365e+01,-5.94170454135421310e-08,-8.79263173279713186e+01,-6.11607191169107041e-08,-8.79275244204067121e+01,-6.22379873722056896e-08,-8.79297717555135137e+01,-6.24256169378694646e-08,-8.79309363395694277e+01,-6.25343682761881495e-08,-8.79317472334570169e+01
 6.40000000000000036e+00,-5.86078471868356012e-08,-8.79364607698508252e+01,-1.25256957159685322e-07,-8.79036764497509751e+01,-5.94040160123868102e-08,-8.79263308132076702e+01,-6.11453966490098292e-08,-8.79275380560853961e+01,-6.22231712529318324e-08,-8.79297848495652801e+01,-6.24110780450373578e-08,-8.79309492397588031e+01,-6.25200148109138787e-08,-8.79317600081021453e+01
 6.50000000000000000e+00,-5.86111312624230294e-08,-8.79364668679454979e+01,-1.25068826338483124e-07,-8.79036992473829031e+01,-5.93910334936992409e-08,-8.79263442920671849e+01,-6.11301350890292959e-08,-8.79275516852419088e+01,-6.22084019400921383e-08,-8.79297979373311591e+01,-6.23965904562254527e-08,-8.79309621337237530e+01,-6.25057151509649376e-08,-8.79317727765629655e+01
 6.60000000000000053e+00,-5.86144153100373070e-08,-8.79364729660401707e+01,-1.24881119069135067e-07,-8.79037220339067318e+01,-5.93780978132366952e-08,-8.79263577645531171e+01,-6.11149342514310900e-08,-8.79275653078796324e+01,-6.21936793778031588e-08,-8.79298110188144335e+01,-6.23821540471783308e-08,-8.79309750214675034e+01,-6.24914691347105656e-08,-8.79317855388427603e+01
 6.70000000000000018e+00,-5.86176993296869573e-08,-8.79364790641348435e+01,-1.24693834343848761e-07,-8.79037448093284155e+01,-5.93652089276752775e-08,-8.79263712306686784e+01,-6.10997939513876857e-08,-8.79275789240019492e+01,-6.21790035115444138e-08,-8.79298240940183291e+01,-6.23677686941125821e-08,-8.79309879029932517e+01,-6.24772766001127907e-08,-8.79317982949447838e+01
 6.80000000000000071e+00,-5.86209833213890532e-08,-8.79364851622295163e+01,-1.24506971157682057e-07,-8.79037675736539512e+01,-5.93523667946298827e-08,-8.79263846904171089e+01,-6.10847140046726991e-08,-8.79275925336122270e+01,-6.21643742882795573e-08,-8.79298371629461286e+01,-6.23534342736955245e-08,-8.79310007783042238e+01,-6.24631373848193389e-08,-8.79318110448723047e+01
