"engine.time","0.ikr.IKr","0.membrane.V","1.ikr.IKr","1.membrane.V"
 0.00000000000000000e+00,-8.98220469032910578e-07,-8.80186414122350413e+01, 4.58192525702414994e-03,-1.89854932183963498e+01
 1.00000000000000006e-01,-8.98352410053948906e-07,-8.80186455680930351e+01, 4.58186949444513471e-03,-1.89840474585815571e+01
 2.00000000000000011e-01,-8.98484348469005245e-07,-8.80186497239510146e+01, 4.58181423130251883e-03,-1.89825931489038204e+01
 3.00000000000000044e-01,-8.98616284281066128e-07,-8.80186538798090083e+01, 4.58175946780184622e-03,-1.89811302839413436e+01
 4.00000000000000022e-01,-8.98748217487642441e-07,-8.80186580356669879e+01, 4.58170520414875795e-03,-1.89796588582681700e+01
 5.00000000000000000e-01,-8.98880075457903067e-07,-8.80186621894494863e+01, 4.58165144054898527e-03,-1.89781788664542113e+01
 6.00000000000000089e-01,-8.99011682614900301e-07,-8.80186663361392618e+01, 4.58159817720835746e-03,-1.89766903030652188e+01
 7.00000000000000067e-01,-8.99143287173057092e-07,-8.80186704828290232e+01, 4.58154541433278273e-03,-1.89751931626628298e+01
 8.00000000000000044e-01,-8.99274889133866336e-07,-8.80186746295187987e+01, 4.58149315212827337e-03,-1.89736874398045465e+01
 9.00000000000000022e-01,-8.99406488495336871e-07,-8.80186787762085601e+01, 4.58144139080092321e-03,-1.89721731290437496e+01
 1.00000000000000000e+00,-8.99537956314979330e-07,-8.80186829192135320e+01, 4.58139013055691886e-03,-1.89706502249297095e+01
 1.10000000000000009e+00,-8.99669233240274268e-07,-8.80186870568374786e+01, 4.58133937160253892e-03,-1.89691187220075932e+01
 1.20000000000000018e+00,-8.99800462904991738e-07,-8.80186911931849494e+01, 4.58128911414414607e-03,-1.89675786148184535e+01
 1.30000000000000004e+00,-8.99931645309916832e-07,-8.80186953282559159e+01, 4.58123935838819669e-03,-1.89660298978992579e+01
 1.40000000000000013e+00,-9.00062780457826761e-07,-8.80186994620503924e+01, 4.58119010454123132e-03,-1.89644725657828914e+01
 1.50000000000000000e+00,-9.00193868349506723e-07,-8.80187035945683931e+01, 4.58114135280988672e-03,-1.89629066129981467e+01
