"engine.time","0.ikr.IKr","0.membrane.V","1.ikr.IKr","1.membrane.V"
 0.00000000000000000e+00,-2.10587831835218401e-07,-8.79380387068267169e+01,-2.10597780398222601e-07,-8.79380388268240978e+01
 1.00000000000000006e-01,-2.10608455057438930e-07,-8.79380467367440843e+01,-2.10618494086637394e-07,-8.79380468717646409e+01
 2.00000000000000011e-01,-2.10629077934176743e-07,-8.79380547666614376e+01,-2.10639192478740394e-07,-8.79380549130307401e+01
 3.00000000000000044e-01,-2.10649700465553230e-07,-8.79380627965788051e+01,-2.10659875537659621e-07,-8.79380629506241149e+01
 4.00000000000000022e-01,-2.10670322651527946e-07,-8.79380708264961584e+01,-2.10680543226498928e-07,-8.79380709845465418e+01
 5.00000000000000000e-01,-2.10690932189106599e-07,-8.79380788504015243e+01,-2.10701195508094164e-07,-8.79380790147997260e+01
 6.00000000000000089e-01,-2.10711518977337332e-07,-8.79380868633577535e+01,-2.10721832345256081e-07,-8.79380870413854296e+01
 7.00000000000000067e-01,-2.10732105423755437e-07,-8.79380948763139827e+01,-2.10742453700567131e-07,-8.79380950643053865e+01
 8.00000000000000044e-01,-2.10752691528441726e-07,-8.79381028892702119e+01,-2.10763059536502564e-07,-8.79381030835613302e+01
 9.00000000000000022e-01,-2.10773277291315359e-07,-8.79381109022264411e+01,-2.10783649815308560e-07,-8.79381110991550088e+01
 1.00000000000000000e+00,-2.10793841147793598e-07,-8.79381189042676112e+01,-2.10804235818091385e-07,-8.79381191110808800e+01
 1.10000000000000009e+00,-2.10814391711558749e-07,-8.79381268997520067e+01,-2.10825080141917785e-07,-8.79381271191718952e+01
 1.20000000000000018e+00,-2.10834937140366228e-07,-8.79381348928079944e+01,-2.10845913897075107e-07,-8.79381351236025921e+01
 1.30000000000000004e+00,-2.10855477434963648e-07,-8.79381428834355461e+01,-2.10866737091738225e-07,-8.79381431243746903e+01
 1.40000000000000013e+00,-2.10876012596219721e-07,-8.79381508716346900e+01,-2.10887549734085373e-07,-8.79381511214899092e+01
 1.50000000000000000e+00,-2.10896542624921631e-07,-8.79381588574054120e+01,-2.10908351832419407e-07,-8.79381591149499400e+01
 1.60000000000000009e+00,-2.10917067521896743e-07,-8.79381668407477122e+01,-2.10929143394965784e-07,-8.79381671047564879e+01
 1.70000000000000018e+00,-2.10937587287971922e-07,-8.79381748216615904e+01,-2.10949924430277684e-07,-8.79381750909112725e+01
 1.80000000000000004e+00,-2.10958101924095156e-07,-8.79381828001470609e+01,-2.10970694946749681e-07,-8.79381830734159564e+01
 1.90000000000000013e+00,-2.10978611430890125e-07,-8.79381907762040953e+01,-2.10991454953063730e-07,-8.79381910522722734e+01
 2.00000000000000000e+00,-2.10999115809303866e-07,-8.79381987498327220e+01,-2.11012204457905729e-07,-8.79381990274819145e+01
 2.10000000000000009e+00,-2.11019615060161626e-07,-8.79382067210329268e+01,-2.11032943469965444e-07,-8.79382069990465709e+01
 2.20000000000000018e+00,-2.11040102029959729e-07,-8.79382146860296956e+01,-2.11053671998139207e-07,-8.79382149669679620e+01
 2.30000000000000027e+00,-2.11060579999141769e-07,-8.79382226465529584e+01,-2.11074390051246539e-07,-8.79382229312477648e+01
 2.40000000000000036e+00,-2.11081051317817782e-07,-8.79382306038420438e+01,-2.11095097638394763e-07,-8.79382308918876703e+01
 2.50000000000000000e+00,-2.11101515987021997e-07,-8.79382385578969519e+01,-2.11115794768655073e-07,-8.79382388488893980e+01
