"engine.time","0.ikr.IKr","0.membrane.V","1.ikr.IKr","1.membrane.V"
 0.00000000000000000e+00,-3.00606604631833645e-07,-8.79497664672772714e+01,-3.00576049803483830e-07,-8.79497662314575450e+01
 1.00000000000000006e-01,-3.00648709239265484e-07,-8.79497820879565353e+01,-3.00618015045062153e-07,-8.79497818726172227e+01
 2.00000000000000011e-01,-3.00690783581334391e-07,-8.79497977086357992e+01,-3.00660035406116738e-07,-8.79497975058822732e+01
 3.00000000000000044e-01,-3.00732827658040261e-07,-8.79498133293150630e+01,-3.00702110684369127e-07,-8.79498131312570735e+01
 4.00000000000000022e-01,-3.00775073006828454e-07,-8.79498289284524333e+01,-3.00744240677784707e-07,-8.79498287487460146e+01
 5.00000000000000000e-01,-3.00817319194000117e-07,-8.79498445247218683e+01,-3.00786425184317000e-07,-8.79498443583534595e+01
 6.00000000000000089e-01,-3.00859535411714250e-07,-8.79498601209912891e+01,-3.00828664002580538e-07,-8.79498599600837991e+01
 7.00000000000000067e-01,-3.00901908368547040e-07,-8.79498756996267019e+01,-3.00870956931088573e-07,-8.79498755539414105e+01
 8.00000000000000044e-01,-3.00944357685285305e-07,-8.79498912682452811e+01,-3.00913303768503758e-07,-8.79498911399306422e+01
 9.00000000000000022e-01,-3.00986832619324015e-07,-8.79499068316510062e+01,-3.00955704314057632e-07,-8.79499067180558853e+01
 1.00000000000000000e+00,-3.01029333264563494e-07,-8.79499223898439055e+01,-3.00998158366872942e-07,-8.79499222883215026e+01
 1.10000000000000009e+00,-3.01071859714175832e-07,-8.79499379428239649e+01,-3.01040665726466944e-07,-8.79499378507318426e+01
 1.20000000000000018e+00,-3.01114412061701471e-07,-8.79499534905911844e+01,-3.01083226192496333e-07,-8.79499534052912821e+01
 1.30000000000000004e+00,-3.01156990400290531e-07,-8.79499690331455639e+01,-3.01125839564669900e-07,-8.79499689520041557e+01
 1.40000000000000013e+00,-3.01199594823292712e-07,-8.79499845704871035e+01,-3.01168505643336578e-07,-8.79499844908748543e+01
 1.50000000000000000e+00,-3.01242276403265518e-07,-8.79500000973842901e+01,-3.01211224228639155e-07,-8.79500000219076981e+01
 1.60000000000000009e+00,-3.01285021927859701e-07,-8.79500156152109298e+01,-3.01253995120849063e-07,-8.79500155451070498e+01
 1.70000000000000018e+00,-3.01327810888686172e-07,-8.79500311260853920e+01,-3.01296818120701271e-07,-8.79500310604772437e+01
 1.80000000000000004e+00,-3.01370643408300170e-07,-8.79500466300076624e+01,-3.01339693029222658e-07,-8.79500465680226426e+01
 1.90000000000000013e+00,-3.01413519609163335e-07,-8.79500621269777554e+01,-3.01382619647392245e-07,-8.79500620677475808e+01
 2.00000000000000000e+00,-3.01456439613643978e-07,-8.79500776169956708e+01,-3.01425597776223040e-07,-8.79500775596563784e+01
 2.10000000000000009e+00,-3.01499403544017073e-07,-8.79500931000613946e+01,-3.01468627217348821e-07,-8.79500930437533981e+01
 2.20000000000000018e+00,-3.01542411522464106e-07,-8.79501085761749408e+01,-3.01511707772263499e-07,-8.79501085200429600e+01
 2.30000000000000027e+00,-3.01585474376815295e-07,-8.79501240438510052e+01,-3.01554839242655538e-07,-8.79501239885293842e+01
 2.40000000000000036e+00,-3.01628591719674932e-07,-8.79501395031632143e+01,-3.01598021430572915e-07,-8.79501394492170192e+01
 2.50000000000000000e+00,-3.01671757567101629e-07,-8.79501549549603681e+01,-3.01641254138084306e-07,-8.79501549021101710e+01
 2.60000000000000009e+00,-3.01714972049242264e-07,-8.79501703992424950e+01,-3.01684537167528485e-07,-8.79501703472131737e+01
 2.70000000000000018e+00,-3.01758235295799708e-07,-8.79501858360095810e+01,-3.01727870321259525e-07,-8.79501857845303334e+01
 2.80000000000000027e+00,-3.01801547436621360e-07,-8.79502012652616258e+01,-3.01771253401980106e-07,-8.79502012140659843e+01
 2.90000000000000036e+00,-3.01844908601279332e-07,-8.79502166869986439e+01,-3.01814686212318263e-07,-8.79502166358244182e+01
 3.00000000000000000e+00,-3.01888318919490050e-07,-8.79502321012206210e+01,-3.01858168555245717e-07,-8.79502320498099550e+01
 3.10000000000000009e+00,-3.01931777856960218e-07,-8.79502475075511825e+01,-3.01901700234073898e-07,-8.79502474560269150e+01
 3.20000000000000018e+00,-3.01975285395412824e-07,-8.79502629059050349e+01,-3.01945281051863783e-07,-8.79502628544795897e+01
 3.30000000000000027e+00,-3.02018842187955111e-07,-8.79502782965784888e+01,-3.01988910811926803e-07,-8.79502782451722851e+01
 3.40000000000000036e+00,-3.02062448364845128e-07,-8.79502936795715442e+01,-3.02032589317906215e-07,-8.79502936281093071e+01
 3.50000000000000000e+00,-3.02106104056314137e-07,-8.79503090548842152e+01,-3.02076317682129287e-07,-8.79503090032946204e+01
 3.60000000000000009e+00,-3.02149809392146911e-07,-8.79503244225165020e+01,-3.02120110800783608e-07,-8.79503243707288220e+01
 3.70000000000000018e+00,-3.02193564502353846e-07,-8.79503397824683901e+01,-3.02163952848850987e-07,-8.79503397304200547e+01
 3.80000000000000027e+00,-3.02237369516330556e-07,-8.79503551347398798e+01,-3.02207843647404608e-07,-8.79503550823725817e+01
 3.90000000000000036e+00,-3.02281213719581419e-07,-8.79503704792598882e+01,-3.02251783018130958e-07,-8.79503704265907089e+01
 4.00000000000000000e+00,-3.02325092895470121e-07,-8.79503858159999652e+01,-3.02295770782740243e-07,-8.79503857630786854e+01
 4.10000000000000053e+00,-3.02369019679517109e-07,-8.79504011450421501e+01,-3.02339806763552587e-07,-8.79504010918408028e+01
 4.20000000000000018e+00,-3.02412994198961132e-07,-8.79504164663864572e+01,-3.02383890783412211e-07,-8.79504164128813528e+01
 4.29999999999999982e+00,-3.02457016580596932e-07,-8.79504317800328579e+01,-3.02428022664930565e-07,-8.79504317262045845e+01
 4.40000000000000036e+00,-3.02501086951278653e-07,-8.79504470859813949e+01,-3.02472202231407788e-07,-8.79504470318147611e+01
 4.50000000000000000e+00,-3.02545205437835661e-07,-8.79504623842320257e+01,-3.02516429306579342e-07,-8.79504623297161743e+01
 4.60000000000000053e+00,-3.02589372166905364e-07,-8.79504776747847785e+01,-3.02560703714362110e-07,-8.79504776199130731e+01
 4.70000000000000018e+00,-3.02633587265016220e-07,-8.79504929576396535e+01,-3.02605025278937413e-07,-8.79504929024097208e+01
 4.80000000000000071e+00,-3.02677850858504676e-07,-8.79505082327966221e+01,-3.02649393824916436e-07,-8.79505081772103665e+01
 4.90000000000000036e+00,-3.02722163073682508e-07,-8.79505235002557129e+01,-3.02693809177171042e-07,-8.79505234443192734e+01
 5.00000000000000000e+00,-3.02766524036836928e-07,-8.79505387600169257e+01,-3.02738271161083694e-07,-8.79505387037406905e+01
 5.10000000000000053e+00,-3.02810933873978911e-07,-8.79505540120802323e+01,-3.02782779602125902e-07,-8.79505539554788669e+01
 5.20000000000000018e+00,-3.02855392711094919e-07,-8.79505692564456609e+01,-3.02827334326360295e-07,-8.79505691995380658e+01
 5.30000000000000071e+00,-3.02899900674314406e-07,-8.79505844931132117e+01,-3.02871935159767874e-07,-8.79505844359225080e+01
 5.40000000000000036e+00,-3.02944457888987660e-07,-8.79505997220828561e+01,-3.02916581928916576e-07,-8.79505996646364423e+01
 5.50000000000000000e+00,-3.02989064481110990e-07,-8.79506149433546227e+01,-3.02961274460876367e-07,-8.79506148856841179e+01
 5.60000000000000053e+00,-3.03033720576153163e-07,-8.79506301569285114e+01,-3.03006012582713508e-07,-8.79506300990697554e+01
 5.70000000000000018e+00,-3.03078327178971660e-07,-8.79506453639643695e+01,-3.03050796121825393e-07,-8.79506453047976038e+01
 5.80000000000000071e+00,-3.03122959557217042e-07,-8.79506605635820904e+01,-3.03095624906105093e-07,-8.79506605028718838e+01
 5.90000000000000036e+00,-3.03167635640803961e-07,-8.79506757555731866e+01,-3.03140498763521434e-07,-8.79506756932968159e+01
 6.00000000000000000e+00,-3.03212355549297418e-07,-8.79506909399376866e+01,-3.03185417522786672e-07,-8.79506908760766493e+01
 6.10000000000000053e+00,-3.03257119401490873e-07,-8.79507061166755477e+01,-3.03230381012266627e-07,-8.79507060512155903e+01
 6.20000000000000018e+00,-3.03301927316829575e-07,-8.79507212857867984e+01,-3.03275389061234238e-07,-8.79507212187178453e+01
 6.30000000000000071e+00,-3.03346779414155001e-07,-8.79507364472714244e+01,-3.03320441499030947e-07,-8.79507363785876635e+01
 6.40000000000000036e+00,-3.03391675812457810e-07,-8.79507516011294399e+01,-3.03365538155148176e-07,-8.79507515308292369e+01
