"engine.time","0.ikr.IKr","0.membrane.V","1.ikr.IKr","1.membrane.V","2.ikr.IKr","2.membrane.V","3.ikr.IKr","3.membrane.V","4.ikr.IKr","4.membrane.V","5.ikr.IKr","5.membrane.V","6.ikr.IKr","6.membrane.V"
 0.00000000000000000e+00,-7.16624515403271897e-07,-8.79360598999692940e+01,-7.17317382961544125e-07,-8.79360560395114135e+01,-7.16208780534857790e-07,-8.79360714616010881e+01,-7.15992493988562185e-07,-8.79360964103805856e+01,-7.16029956765392245e-07,-8.79361021891845809e+01,-7.16028411466602439e-07,-8.79360692268253672e+01,-7.16035466103940487e-07,-8.79361040723505880e+01
 1.00000000000000006e-01,-7.16665998857023237e-07,-8.79360662148918095e+01,-7.17360354858998320e-07,-8.79360624341904469e+01,-7.16252648261442749e-07,-8.79360778233788807e+01,-7.16036570539169184e-07,-8.79361027768092782e+01,-7.16074164191210590e-07,-8.79361085904394031e+01,-7.16071948742568273e-07,-8.79360756025071311e+01,-7.16079684703191092e-07,-8.79361104736407100e+01
 2.00000000000000011e-01,-7.16707469561725510e-07,-8.79360725274681556e+01,-7.17403296805193011e-07,-8.79360688262671033e+01,-7.16296495259992018e-07,-8.79360841823701236e+01,-7.16080626604797338e-07,-8.79361091403663266e+01,-7.16118351487952053e-07,-8.79361149888947438e+01,-7.16115467121062717e-07,-8.79360819754773644e+01,-7.16123883139621457e-07,-8.79361168721287783e+01
 3.00000000000000044e-01,-7.16748939856044132e-07,-8.79360788400445017e+01,-7.17446208785331591e-07,-8.79360752157431449e+01,-7.16340321540636322e-07,-8.79360905385763800e+01,-7.16124662195531104e-07,-8.79361155010532798e+01,-7.16162518664320533e-07,-8.79361213845518819e+01,-7.16158966615259252e-07,-8.79360883457378861e+01,-7.16168061421914940e-07,-8.79361232678159865e+01
 4.00000000000000022e-01,-7.16790409739874600e-07,-8.79360851526208478e+01,-7.17489090785015030e-07,-8.79360816026203906e+01,-7.16384127113610890e-07,-8.79360968919991990e+01,-7.16168677321035762e-07,-8.79361218588716582e+01,-7.16206665729646944e-07,-8.79361277774121675e+01,-7.16202447238539940e-07,-8.79360947132905437e+01,-7.16212219558966659e-07,-8.79361296607035996e+01
 5.00000000000000000e-01,-7.16831879213216808e-07,-8.79360914651971939e+01,-7.17531942789193459e-07,-8.79360879869005885e+01,-7.16427911988626849e-07,-8.79361032426401152e+01,-7.16212671990975748e-07,-8.79361282138230109e+01,-7.16250792692843555e-07,-8.79361341674768795e+01,-7.16245909004077518e-07,-8.79361010781371419e+01,-7.16256357559358856e-07,-8.79361360507928111e+01
 6.00000000000000089e-01,-7.16873348276070651e-07,-8.79360977777735400e+01,-7.17574764783529149e-07,-8.79360943685855574e+01,-7.16471676175813759e-07,-8.79361095905006920e+01,-7.16256646215119891e-07,-8.79361345659088585e+01,-7.16294899562927139e-07,-8.79361405547473396e+01,-7.16289351925043562e-07,-8.79361074402794998e+01,-7.16300475431885640e-07,-8.79361424380848717e+01
 7.00000000000000067e-01,-7.16914816928541054e-07,-8.79361040903498861e+01,-7.17617556753033960e-07,-8.79361007476770595e+01,-7.16515419685195727e-07,-8.79361159355824498e+01,-7.16300600003235965e-07,-8.79361409151307214e+01,-7.16338986349018545e-07,-8.79361469392248694e+01,-7.16332776014400216e-07,-8.79361137997194504e+01,-7.16344573185133172e-07,-8.79361488225809893e+01
 8.00000000000000044e-01,-7.16956285170418165e-07,-8.79361104029262322e+01,-7.17660318683326437e-07,-8.79361071241768997e+01,-7.16559142526797070e-07,-8.79361222778869660e+01,-7.16344533365300746e-07,-8.79361472614901629e+01,-7.16383053060342598e-07,-8.79361533209107762e+01,-7.16376181285737277e-07,-8.79361201564588129e+01,-7.16388650827898841e-07,-8.79361552042823860e+01
 9.00000000000000022e-01,-7.16997753001912048e-07,-8.79361167155025782e+01,-7.17703050559269783e-07,-8.79361134980868400e+01,-7.16602844710745655e-07,-8.79361286174157897e+01,-7.16388446310766911e-07,-8.79361536049886894e+01,-7.16427099705705476e-07,-8.79361596998063675e+01,-7.16419567752224837e-07,-8.79361265104994203e+01,-7.16432708368772833e-07,-8.79361615831902839e+01
 1.00000000000000000e+00,-7.17039220422812745e-07,-8.79361230280789243e+01,-7.17745752366544165e-07,-8.79361198694086852e+01,-7.16646526246855417e-07,-8.79361349541704413e+01,-7.16432338849609649e-07,-8.79361599456278498e+01,-7.16471126294331579e-07,-8.79361660759129649e+01,-7.16462935426823665e-07,-8.79361328618430775e+01,-7.16476745816556244e-07,-8.79361679593059051e+01
 1.10000000000000009e+00,-7.17080687433330002e-07,-8.79361293406552704e+01,-7.17788424089759312e-07,-8.79361262381441975e+01,-7.16690187145253376e-07,-8.79361412881524842e+01,-7.16476210991594297e-07,-8.79361662834091788e+01,-7.16515132835235244e-07,-8.79361724492318757e+01,-7.16506284322807931e-07,-8.79361392104916177e+01,-7.16520763179842963e-07,-8.79361743326304719e+01
 1.20000000000000018e+00,-7.17122154033463608e-07,-8.79361356532316165e+01,-7.17831065714657012e-07,-8.79361326042951816e+01,-7.16733827416066553e-07,-8.79361476193634672e+01,-7.16520062746276446e-07,-8.79361726183341972e+01,-7.16559119337326622e-07,-8.79361788197644074e+01,-7.16549614453660600e-07,-8.79361455564468741e+01,-7.16564760467542190e-07,-8.79361807031652063e+01
 1.30000000000000004e+00,-7.17163620223004346e-07,-8.79361419658079626e+01,-7.17873677226118045e-07,-8.79361389678634140e+01,-7.16777447069211797e-07,-8.79361539478049394e+01,-7.16563894123629484e-07,-8.79361789504044538e+01,-7.16603085809828420e-07,-8.79361851875118674e+01,-7.16592925832236032e-07,-8.79361518997106515e+01,-7.16608737688147123e-07,-8.79361870709113305e+01
 1.40000000000000013e+00,-7.17205086002056718e-07,-8.79361482783843087e+01,-7.17916258609315947e-07,-8.79361453288506709e+01,-7.16821046114606064e-07,-8.79361602734784498e+01,-7.16607705133312023e-07,-8.79361852796214691e+01,-7.16647032261754338e-07,-8.79361915524755773e+01,-7.16636218472016239e-07,-8.79361582402847830e+01,-7.16652694850465846e-07,-8.79361934358700523e+01
 1.50000000000000000e+00,-7.17246551370725545e-07,-8.79361545909606548e+01,-7.17958809849402759e-07,-8.79361516872587572e+01,-7.16864624562479183e-07,-8.79361665963855330e+01,-7.16651495785191467e-07,-8.79361916059867781e+01,-7.16690958702222158e-07,-8.79361979146568586e+01,-7.16679492385959555e-07,-8.79361645781710877e+01,-7.16696631963099874e-07,-8.79361997980426082e+01
 1.60000000000000009e+00,-7.17288016328906112e-07,-8.79361609035370009e+01,-7.18001330931403680e-07,-8.79361580430894350e+01,-7.16908182422747052e-07,-8.79361729165277524e+01,-7.16695266088925580e-07,-8.79361979295019296e+01,-7.16734865140035198e-07,-8.79362042740570047e+01,-7.16722747587442218e-07,-8.79361709133713845e+01,-7.16740549034443090e-07,-8.79362061574301777e+01
 1.70000000000000018e+00,-7.17329480876598313e-07,-8.79361672161133470e+01,-7.18043821840217488e-07,-8.79361643963444806e+01,-7.16951719705429751e-07,-8.79361792339066426e+01,-7.16739016054275676e-07,-8.79362042501684300e+01,-7.16778751584624323e-07,-8.79362106306773370e+01,-7.16765984089525899e-07,-8.79361772458875066e+01,-7.16784446073727731e-07,-8.79362125140340254e+01
 1.80000000000000004e+00,-7.17370945013802360e-07,-8.79361735286896931e+01,-7.18086282561350181e-07,-8.79361707470257130e+01,-7.16995236420546410e-07,-8.79361855485237669e+01,-7.16782745691002538e-07,-8.79362105679878283e+01,-7.16822618044688032e-07,-8.79362169845191630e+01,-7.16809201905795737e-07,-8.79361835757212873e+01,-7.16828323089351493e-07,-8.79362188678553309e+01
 1.90000000000000013e+00,-7.17412408740413327e-07,-8.79361798412660391e+01,-7.18128713079447272e-07,-8.79361770951348802e+01,-7.17038732578116583e-07,-8.79361918603806600e+01,-7.16826455008762131e-07,-8.79362168829616593e+01,-7.16866464529656026e-07,-8.79362233355838043e+01,-7.16852401048998094e-07,-8.79361899028745171e+01,-7.16872180089922983e-07,-8.79362252188953164e+01
 2.00000000000000000e+00,-7.17453872056850283e-07,-8.79361861538423852e+01,-7.18171113379446824e-07,-8.79361834406737728e+01,-7.17082208188158657e-07,-8.79361981694788710e+01,-7.16870144017627370e-07,-8.79362231950914577e+01,-7.16910291048121347e-07,-8.79362296838725541e+01,-7.16895581532612548e-07,-8.79361962273490434e+01,-7.16916017084052503e-07,-8.79362315671552039e+01
