,0,1,drug concentration
0,260.20000000000005,260.20000000000005,0.1
1,260.3,260.3,0.2198392648862289
2,260.3,260.3,0.4832930238571753
3,260.5,260.5,1.0624678308940414
4,260.8,260.8,2.3357214690901227
5,261.5,261.5,5.134832907437552
6,262.8,262.8,11.288378916846895
7,265.40000000000003,265.40000000000003,24.816289228368262
8,270.70000000000005,270.70000000000005,54.5559478116852
9,281.1,281.1,119.93539462092343
10,301.40000000000003,301.40000000000003,263.6650898730358
11,339.0,339.0,579.6393953384967
12,401.0,401.0,1274.2749857031347
13,484.5,484.5,2801.35676119887
14,574.7,574.7,6158.482110660267
15,660.2,660.2,13538.761800225446
16,1000.0,419.90000000000003,29763.51441631319
17,1000.0,408.8,65431.89129712969
18,1000.0,407.5,143844.9888287663
19,1000.0,408.3,316227.7660168379
