"engine.time","0.ikr.IKr","0.membrane.V","1.ikr.IKr","1.membrane.V"
 0.00000000000000000e+00,-7.14497978799848735e-07,-8.79361813543962541e+01,-7.14498228236117452e-07,-8.79361813509545840e+01
 1.00000000000000006e-01,-7.14542038698215531e-07,-8.79361877447817619e+01,-7.14542383929406696e-07,-8.79361877549563076e+01
 2.00000000000000011e-01,-7.14586098452516634e-07,-8.79361941351672556e+01,-7.14586519511837890e-07,-8.79361941561548690e+01
 3.00000000000000044e-01,-7.14630158062960731e-07,-8.79362005255527635e+01,-7.14630634991803436e-07,-8.79362005545514904e+01
 4.00000000000000022e-01,-7.14674217529443533e-07,-8.79362069159382713e+01,-7.14674730378112370e-07,-8.79362069501474082e+01
 5.00000000000000000e-01,-7.14718276851964932e-07,-8.79362133063237650e+01,-7.14718805679364618e-07,-8.79362133429438586e+01
 6.00000000000000089e-01,-7.14762271271014606e-07,-8.79362196876225823e+01,-7.14762860904054439e-07,-8.79362197329420781e+01
 7.00000000000000067e-01,-7.14806223483670891e-07,-8.79362260630193617e+01,-7.14806896060675878e-07,-8.79362261201432887e+01
 8.00000000000000044e-01,-7.14850175553146421e-07,-8.79362324384161411e+01,-7.14850911157930294e-07,-8.79362325045487410e+01
 9.00000000000000022e-01,-7.14894127479441513e-07,-8.79362388138129205e+01,-7.14894906204309932e-07,-8.79362388861596429e+01
 1.00000000000000000e+00,-7.14938079262660670e-07,-8.79362451892096999e+01,-7.14938881208619277e-07,-8.79362452649772592e+01
 1.10000000000000009e+00,-7.14982011241762159e-07,-8.79362515618483371e+01,-7.14982836179140088e-07,-8.79362516410027979e+01
 1.20000000000000018e+00,-7.15025862217799106e-07,-8.79362579231433870e+01,-7.15026771124675154e-07,-8.79362580142374952e+01
 1.30000000000000004e+00,-7.15069699876571663e-07,-8.79362642825901872e+01,-7.15070686053399720e-07,-8.79362643846825733e+01
 1.40000000000000013e+00,-7.15113524218327163e-07,-8.79362706401887380e+01,-7.15114580974219596e-07,-8.79362707523392686e+01
 1.50000000000000000e+00,-7.15157335243209073e-07,-8.79362769959390533e+01,-7.15158455895621523e-07,-8.79362771172088173e+01
 1.60000000000000009e+00,-7.15201132951360647e-07,-8.79362833498411050e+01,-7.15202310825882919e-07,-8.79362834792924275e+01
 1.70000000000000018e+00,-7.15244917342716029e-07,-8.79362897018949070e+01,-7.15246145773802020e-07,-8.79362898385913496e+01
 1.80000000000000004e+00,-7.15288688417731768e-07,-8.79362960521004737e+01,-7.15289960747863026e-07,-8.79362961951067916e+01
 1.90000000000000013e+00,-7.15332446176446193e-07,-8.79363024004577909e+01,-7.15333755756549503e-07,-8.79363025488399899e+01
 2.00000000000000000e+00,-7.15376190618898057e-07,-8.79363087469668443e+01,-7.15377530808343530e-07,-8.79363088997921665e+01
 2.10000000000000009e+00,-7.15419921745230189e-07,-8.79363150916276624e+01,-7.15421285911830848e-07,-8.79363152479645436e+01
 2.20000000000000018e+00,-7.15463639555794533e-07,-8.79363214344402309e+01,-7.15465021075491843e-07,-8.79363215933583575e+01
 2.30000000000000027e+00,-7.15507344050420410e-07,-8.79363277754045498e+01,-7.15508736307701553e-07,-8.79363279359748162e+01
 2.40000000000000036e+00,-7.15551035229564055e-07,-8.79363341145206192e+01,-7.15552431617042964e-07,-8.79363342758151560e+01
 2.50000000000000000e+00,-7.15594701353038062e-07,-8.79363404501429926e+01,-7.15596107011992969e-07,-8.79363406128805849e+01
 2.60000000000000009e+00,-7.15638331818492809e-07,-8.79363467807856551e+01,-7.15639762501132860e-07,-8.79363469471723391e+01
 2.70000000000000018e+00,-7.15681944596513978e-07,-8.79363531089672534e+01,-7.15683398092728725e-07,-8.79363532786916267e+01
 2.80000000000000027e+00,-7.15725539687603435e-07,-8.79363594346878017e+01,-7.15727013795568107e-07,-8.79363596074396838e+01
 2.90000000000000036e+00,-7.15769117091741169e-07,-8.79363657579472999e+01,-7.15770609617915295e-07,-8.79363659334177186e+01
 3.00000000000000000e+00,-7.15812676809220571e-07,-8.79363720787457481e+01,-7.15814185568033731e-07,-8.79363722566269530e+01
 3.10000000000000009e+00,-7.15856218840125709e-07,-8.79363783970831321e+01,-7.15857741654498669e-07,-8.79363785770685951e+01
 3.20000000000000018e+00,-7.15899743184853948e-07,-8.79363847129594660e+01,-7.15901277886197605e-07,-8.79363848947438953e+01
 3.30000000000000027e+00,-7.15943249843385065e-07,-8.79363910263747499e+01,-7.15944794270972897e-07,-8.79363912096540332e+01
