"engine.time","0.ikr.IKr","0.membrane.V","1.ikr.IKr","1.membrane.V","2.ikr.IKr","2.membrane.V","3.ikr.IKr","3.membrane.V","4.ikr.IKr","4.membrane.V","5.ikr.IKr","5.membrane.V","6.ikr.IKr","6.membrane.V"
 0.00000000000000000e+00,-9.26440293389800758e-08,-8.79360598999692797e+01,-8.99524880009778934e-08,-8.79181876320160143e+01,-8.91611309414670576e-08,-8.79276094440099172e+01,-8.96681744796348037e-08,-8.79297218901006801e+01,-8.96665146183285081e-08,-8.79311334554926418e+01,-8.94503155719932112e-08,-8.79319881956695326e+01,-9.08185783208616973e-08,-8.79325104841753102e+01
 1.00000000000000006e-01,-9.26494212447191639e-08,-8.79360662464074210e+01,-8.99303527160929082e-08,-8.79182029560130189e+01,-8.91594257439685898e-08,-8.79276214527750284e+01,-8.96677674396407726e-08,-8.79297335240768376e+01,-8.96643968249086272e-08,-8.79311447703366866e+01,-8.94475311097240134e-08,-8.79319993645032270e+01,-9.08181736265725638e-08,-8.79325215842698356e+01
 2.00000000000000011e-01,-9.26548109704747285e-08,-8.79360725899607303e+01,-8.99082985040168132e-08,-8.79182182728802388e+01,-8.91577364471948481e-08,-8.79276334560062196e+01,-8.96673848689648750e-08,-8.79297451527920515e+01,-8.96623012268141605e-08,-8.79311560798746825e+01,-8.94447780060355795e-08,-8.79320105280714728e+01,-9.08177894449389843e-08,-8.79325326791213087e+01
 3.00000000000000044e-01,-9.26602006427594854e-08,-8.79360789335140254e+01,-8.98863251586223010e-08,-8.79182335826212551e+01,-8.91560628988665140e-08,-8.79276454537066314e+01,-8.96670266589514451e-08,-8.79297567762144894e+01,-8.96602278961416806e-08,-8.79311673841091732e+01,-8.94420564295342249e-08,-8.79320216863767854e+01,-9.08174257833758454e-08,-8.79325437687322875e+01
 4.00000000000000022e-01,-9.26655902615598821e-08,-8.79360852770673205e+01,-8.98644324745611625e-08,-8.79182488852396915e+01,-8.91544049465308786e-08,-8.79276574458794613e+01,-8.96666926990860824e-08,-8.79297683943114095e+01,-8.96581769060754692e-08,-8.79311786830427309e+01,-8.94393665501459556e-08,-8.79320328394216659e+01,-9.08170826502569546e-08,-8.79325548531053443e+01
 5.00000000000000000e-01,-9.26709798269165497e-08,-8.79360916206206298e+01,-8.98426202471995947e-08,-8.79182641807391718e+01,-8.91527624376627853e-08,-8.79276694325278498e+01,-8.96663828772066296e-08,-8.79297800070492173e+01,-8.96561483307893944e-08,-8.79311899766779419e+01,-8.94367085389920468e-08,-8.79320439872086155e+01,-9.08167600549745573e-08,-8.79325659322430511e+01
 6.00000000000000089e-01,-9.26763693387753046e-08,-8.79360979641739249e+01,-8.98208882726660448e-08,-8.79182794691233056e+01,-8.91511352196501904e-08,-8.79276814136549660e+01,-8.96660970792592798e-08,-8.79297916143933946e+01,-8.96541422453209402e-08,-8.79312012650173216e+01,-8.94340825684029531e-08,-8.79320551297401067e+01,-9.08164580078561291e-08,-8.79325770061479517e+01
 7.00000000000000067e-01,-9.26817587971903304e-08,-8.79361043077272200e+01,-8.97992363477867168e-08,-8.79182947503957024e+01,-8.91495231397225492e-08,-8.79276933892639647e+01,-8.96658351894385885e-08,-8.79298032163085423e+01,-8.96521587258532557e-08,-8.79312125480634705e+01,-8.94314888120872517e-08,-8.79320662670186550e+01,-9.08161765202805917e-08,-8.79325880748226183e+01
 8.00000000000000044e-01,-9.26871482021345750e-08,-8.79361106512805293e+01,-8.97776642700850815e-08,-8.79183100245599576e+01,-8.91479260450658137e-08,-8.79277053593580291e+01,-8.96655970900713504e-08,-8.79298148127583516e+01,-8.96501978494903076e-08,-8.79312238258189325e+01,-8.94289274448805234e-08,-8.79320773990467330e+01,-9.08159156046239432e-08,-8.79325991382696230e+01
 9.00000000000000022e-01,-9.26925375535944329e-08,-8.79361169948338244e+01,-8.97561718378463039e-08,-8.79183252916196807e+01,-8.91463437827652189e-08,-8.79277173239402998e+01,-8.96653826616570325e-08,-8.79298264037056043e+01,-8.96482596942859570e-08,-8.79312350982862512e+01,-8.94263986429271740e-08,-8.79320885258268561e+01,-9.08156752741761705e-08,-8.79326101964915097e+01
