"engine.time","0.ikr.IKr","0.membrane.V","1.ikr.IKr","1.membrane.V"
 0.00000000000000000e+00,-1.24532687561811765e-05,-8.79340318727359431e+01,-1.24532806951038088e-05,-8.79340320263009261e+01
 1.00000000000000006e-01,-1.24536079972479737e-05,-8.79340390661868412e+01,-1.24536218026204920e-05,-8.79340392341215136e+01
 2.00000000000000011e-01,-1.24539471300817463e-05,-8.79340462596377535e+01,-1.24539623812905691e-05,-8.79340464387041010e+01
 3.00000000000000044e-01,-1.24542861546763243e-05,-8.79340534530886515e+01,-1.24543024314120141e-05,-8.79340536400501804e+01
 4.00000000000000022e-01,-1.24546250710337578e-05,-8.79340606465395496e+01,-1.24546419532724577e-05,-8.79340608381612014e+01
 5.00000000000000000e-01,-1.24549638489807222e-05,-8.79340678397578159e+01,-1.24549809471738736e-05,-8.79340680330386419e+01
 6.00000000000000089e-01,-1.24553004724795138e-05,-8.79340750171982535e+01,-1.24553194134078921e-05,-8.79340752246839656e+01
 7.00000000000000067e-01,-1.24556369880273191e-05,-8.79340821946386768e+01,-1.24556573522681388e-05,-8.79340824130986221e+01
 8.00000000000000044e-01,-1.24559733956261894e-05,-8.79340893720791001e+01,-1.24559947640481901e-05,-8.79340895982841033e+01
 9.00000000000000022e-01,-1.24563096952761300e-05,-8.79340965495195235e+01,-1.24563316490415584e-05,-8.79340967802418447e+01
 1.00000000000000000e+00,-1.24566458366065054e-05,-8.79341037265713652e+01,-1.24566680075396415e-05,-8.79341039589733100e+01
 1.10000000000000009e+00,-1.24569800446948909e-05,-8.79341108895409604e+01,-1.24570038398378930e-05,-8.79341111344799771e+01
 1.20000000000000018e+00,-1.24573138681906790e-05,-8.79341180503740958e+01,-1.24573391462317123e-05,-8.79341183067633096e+01
 1.30000000000000004e+00,-1.24576473071576834e-05,-8.79341252090707854e+01,-1.24576739270082147e-05,-8.79341254758247430e+01
 1.40000000000000013e+00,-1.24579803616473799e-05,-8.79341323656310152e+01,-1.24580081824667891e-05,-8.79341326416657552e+01
 1.50000000000000000e+00,-1.24583130317194606e-05,-8.79341395200547993e+01,-1.24583419128944424e-05,-8.79341398042878097e+01
 1.60000000000000009e+00,-1.24586453174356676e-05,-8.79341466723421377e+01,-1.24586751185863319e-05,-8.79341469636923421e+01
 1.70000000000000018e+00,-1.24589772188474647e-05,-8.79341538224930162e+01,-1.24590077998314040e-05,-8.79341541198808159e+01
 1.80000000000000004e+00,-1.24593087360145290e-05,-8.79341609705074347e+01,-1.24593399569267607e-05,-8.79341612728547091e+01
 1.90000000000000013e+00,-1.24596398689985886e-05,-8.79341681163854219e+01,-1.24596715901612318e-05,-8.79341684226154570e+01
 2.00000000000000000e+00,-1.24599706178510874e-05,-8.79341752601269349e+01,-1.24600026998256359e-05,-8.79341755691645091e+01
 2.10000000000000009e+00,-1.24603009826337470e-05,-8.79341824017320164e+01,-1.24603332862169088e-05,-8.79341827125033291e+01
 2.20000000000000018e+00,-1.24606309634021106e-05,-8.79341895412006380e+01,-1.24606633496195910e-05,-8.79341898526333807e+01
 2.30000000000000027e+00,-1.24609602370600363e-05,-8.79341966760370184e+01,-1.24609928903284447e-05,-8.79341969895560993e+01
 2.40000000000000036e+00,-1.24612887815682434e-05,-8.79342038060699309e+01,-1.24613219086340633e-05,-8.79342041232729343e+01
 2.50000000000000000e+00,-1.24616168505794774e-05,-8.79342109332576882e+01,-1.24616504048269792e-05,-8.79342112537853495e+01
 2.60000000000000009e+00,-1.24619444441704119e-05,-8.79342180576002903e+01,-1.24619783791956221e-05,-8.79342183810947944e+01
 2.70000000000000018e+00,-1.24622715624156552e-05,-8.79342251790977230e+01,-1.24623058320345175e-05,-8.79342255052027042e+01
 2.80000000000000027e+00,-1.24625982053939221e-05,-8.79342322977500146e+01,-1.24626327636340298e-05,-8.79342326261105427e+01
 2.90000000000000036e+00,-1.24629243731818520e-05,-8.79342394135571368e+01,-1.24629591742803563e-05,-8.79342397438197452e+01
 3.00000000000000000e+00,-1.24632500658519798e-05,-8.79342465265191038e+01,-1.24632850642678511e-05,-8.79342468583317753e+01
 3.10000000000000009e+00,-1.24635752834850464e-05,-8.79342536366359013e+01,-1.24636104338867076e-05,-8.79342539696480685e+01
 3.20000000000000018e+00,-1.24639000261576660e-05,-8.79342607439075579e+01,-1.24639352834188404e-05,-8.79342610777700600e+01
 3.30000000000000027e+00,-1.24642242939464559e-05,-8.79342678483340450e+01,-1.24642596131666522e-05,-8.79342681826992276e+01
 3.40000000000000036e+00,-1.24645480869280203e-05,-8.79342749499153769e+01,-1.24645834234078343e-05,-8.79342752844369784e+01
 3.50000000000000000e+00,-1.24648713956658903e-05,-8.79342820485777281e+01,-1.24649067144385093e-05,-8.79342823829847759e+01
 3.60000000000000009e+00,-1.24651940413849413e-05,-8.79342891429328546e+01,-1.24652294865424180e-05,-8.79342894783440556e+01
 3.70000000000000018e+00,-1.24655161834396078e-05,-8.79342962342168448e+01,-1.24655517400135182e-05,-8.79342965705162669e+01
