"engine.time","0.ikr.IKr","0.membrane.V","1.ikr.IKr","1.membrane.V","2.ikr.IKr","2.membrane.V","3.ikr.IKr","3.membrane.V","4.ikr.IKr","4.membrane.V","5.ikr.IKr","5.membrane.V","6.ikr.IKr","6.membrane.V"
 0.00000000000000000e+00,-7.16624515403271897e-07,-8.79360598999692940e+01,-2.46781004022145404e-05,-8.79327332139069000e+01,-2.72444080040057118e-05,-8.79324778857809690e+01,-2.78647121576541332e-05,-8.79330082508594302e+01,-2.78632652003072278e-05,-8.79333534632846607e+01,-2.76226979193023954e-05,-8.79335628287370241e+01,-2.72892601954908576e-05,-8.79336486926439136e+01
 1.00000000000000006e-01,-7.16327568141377503e-07,-8.79360662203629744e+01,-2.46790158001211148e-05,-8.79327411949430342e+01,-2.72454348947951105e-05,-8.79324862614884353e+01,-2.78657068922344400e-05,-8.79330166015955399e+01,-2.78642408641708118e-05,-8.79333618040191709e+01,-2.76236755732516777e-05,-8.79335712156365616e+01,-2.72902325021923353e-05,-8.79336570876873935e+01
 2.00000000000000011e-01,-7.16030854729588561e-07,-8.79360725400072880e+01,-2.46799301492276043e-05,-8.79327491724503005e+01,-2.72464605486074729e-05,-8.79324946334619568e+01,-2.78667003614020453e-05,-8.79330249485881410e+01,-2.78652152610010832e-05,-8.79333701409997417e+01,-2.76246519596484739e-05,-8.79335795987447000e+01,-2.72912035641958716e-05,-8.79336654789708518e+01
 3.00000000000000044e-01,-7.15734098615760349e-07,-8.79360788596515874e+01,-2.46808434500692051e-05,-8.79327571464302480e+01,-2.72474849661184231e-05,-8.79325030017032390e+01,-2.78676925659093958e-05,-8.79330332918391662e+01,-2.78661883916634115e-05,-8.79333784742287037e+01,-2.76256270792134497e-05,-8.79335879780632155e+01,-2.72921733823363191e-05,-8.79336738664965765e+01
 4.00000000000000022e-01,-7.15437299799892548e-07,-8.79360851792959011e+01,-2.46817557031848096e-05,-8.79327651168844397e+01,-2.72485081479951960e-05,-8.79325113662140012e+01,-2.78686835065088328e-05,-8.79330416313505623e+01,-2.78671602570271981e-05,-8.79333868037083874e+01,-2.76266009326462170e-05,-8.79335963535938845e+01,-2.72931419574524538e-05,-8.79336822502669122e+01
 5.00000000000000000e-01,-7.15140458281985372e-07,-8.79360914989402005e+01,-2.46826669091169390e-05,-8.79327730838144532e+01,-2.72495300949173391e-05,-8.79325197269959489e+01,-2.78696731839568008e-05,-8.79330499671242762e+01,-2.78681308579532759e-05,-8.79333951294410952e+01,-2.76275735206588494e-05,-8.79336047253384834e+01,-2.72941092903911799e-05,-8.79336906302841470e+01
 6.00000000000000089e-01,-7.14843574062143004e-07,-8.79360978185845141e+01,-2.46835770684043165e-05,-8.79327810472218516e+01,-2.72505508075518364e-05,-8.79325280840507872e+01,-2.78706615990053905e-05,-8.79330582991622265e+01,-2.78691001953107176e-05,-8.79334034514291432e+01,-2.76285448439632374e-05,-8.79336130932988027e+01,-2.72950753819991983e-05,-8.79336990065506114e+01
 7.00000000000000067e-01,-7.14546647140261366e-07,-8.79361041382288278e+01,-2.46844861815855906e-05,-8.79327890071081981e+01,-2.72515702865655945e-05,-8.79325364373802074e+01,-2.78716487524192355e-05,-8.79330666274663884e+01,-2.78700682699642286e-05,-8.79334117696748478e+01,-2.76295149032628384e-05,-8.79336214574766046e+01,-2.72960402331106841e-05,-8.79337073790685935e+01
 8.00000000000000044e-01,-7.14249677516339929e-07,-8.79361104578731272e+01,-2.46853942492030556e-05,-8.79327969634750417e+01,-2.72525885326336476e-05,-8.79325447869859289e+01,-2.78726346449459677e-05,-8.79330749520386803e+01,-2.78710350827825463e-05,-8.79334200841805540e+01,-2.76304836992693364e-05,-8.79336298178736797e+01,-2.72970038445720366e-05,-8.79337157478404379e+01
 9.00000000000000022e-01,-7.13952665190274718e-07,-8.79361167775174408e+01,-2.46863012717840166e-05,-8.79328049163239456e+01,-2.72536055464268121e-05,-8.79325531328696570e+01,-2.78736192773373289e-05,-8.79330832728810492e+01,-2.78720006346216109e-05,-8.79334283949485354e+01,-2.76314512326817266e-05,-8.79336381744917759e+01,-2.72979662172211916e-05,-8.79337241128684326e+01
 1.00000000000000000e+00,-7.13655610162274211e-07,-8.79361230971617402e+01,-2.46872072498780895e-05,-8.79328128656564871e+01,-2.72546213286199055e-05,-8.79325614750330971e+01,-2.78746026503491300e-05,-8.79330915899954277e+01,-2.78729649263540494e-05,-8.79334367019811367e+01,-2.76324175042198075e-05,-8.79336465273326979e+01,-2.72989273519000998e-05,-8.79337324741548940e+01
 1.10000000000000009e+00,-7.13358512432338512e-07,-8.79361294168060539e+01,-2.46881121840198876e-05,-8.79328208114742154e+01,-2.72556358798752127e-05,-8.79325698134779259e+01,-2.78755847647455302e-05,-8.79330999033837770e+01,-2.78739279588480774e-05,-8.79334450052806886e+01,-2.76333825145781528e-05,-8.79336548763982080e+01,-2.72998872494546118e-05,-8.79337408317021385e+01
 1.20000000000000018e+00,-7.13061372000258829e-07,-8.79361357364503675e+01,-2.46890160747439329e-05,-8.79328287537786792e+01,-2.72566492008673277e-05,-8.79325781482058630e+01,-2.78765656212610290e-05,-8.79331082130480013e+01,-2.78748897329591642e-05,-8.79334533048494791e+01,-2.76343462644679416e-05,-8.79336632216900540e+01,-2.73008459107139559e-05,-8.79337491855124824e+01
 1.30000000000000004e+00,-7.12764188866139770e-07,-8.79361420560946669e+01,-2.46899189225846996e-05,-8.79328366925714420e+01,-2.72576612922665855e-05,-8.79325864792186138e+01,-2.78775452206637363e-05,-8.79331165189900616e+01,-2.78758502495551933e-05,-8.79334616006898386e+01,-2.76353087545960636e-05,-8.79336715632100407e+01,-2.73018033365319412e-05,-8.79337575355882279e+01
 1.40000000000000013e+00,-7.12466963030189069e-07,-8.79361483757389806e+01,-2.46908207280877583e-05,-8.79328446278540667e+01,-2.72586721547266687e-05,-8.79325948065178551e+01,-2.78785235637005691e-05,-8.79331248212118908e+01,-2.78768095095039026e-05,-8.79334698928040837e+01,-2.76362699856567333e-05,-8.79336799009599162e+01,-2.73027595277374167e-05,-8.79337658819316914e+01
 1.50000000000000000e+00,-7.12169694491886755e-07,-8.79361546953832800e+01,-2.46917214917725063e-05,-8.79328525596280883e+01,-2.72596817889301028e-05,-8.79326031301052922e+01,-2.78795006511309568e-05,-8.79331331197154356e+01,-2.78777675136686524e-05,-8.79334781811945305e+01,-2.76372299583732763e-05,-8.79336882349414566e+01,-2.73037144851797564e-05,-8.79337742245451892e+01
 1.60000000000000009e+00,-7.11872383251856773e-07,-8.79361610150275936e+01,-2.46926212141955526e-05,-8.79328604878950841e+01,-2.72606901955427371e-05,-8.79326114499826303e+01,-2.78804764836931360e-05,-8.79331414145026145e+01,-2.78787242629042108e-05,-8.79334864658634956e+01,-2.76381886734313217e-05,-8.79336965651564100e+01,-2.73046682096998473e-05,-8.79337825634310377e+01
 1.70000000000000018e+00,-7.11575029309579150e-07,-8.79361673346718931e+01,-2.46935198958761351e-05,-8.79328684126565889e+01,-2.72616973752303156e-05,-8.79326197661515607e+01,-2.78814510621505376e-05,-8.79331497055753601e+01,-2.78796797580862268e-05,-8.79334947468133095e+01,-2.76391461315456060e-05,-8.79337048916065811e+01,-2.73056207021343274e-05,-8.79337908985915391e+01
 1.80000000000000004e+00,-7.11277632665469781e-07,-8.79361736543162067e+01,-2.46944175373557994e-05,-8.79328763339141517e+01,-2.72627033286543339e-05,-8.79326280786137602e+01,-2.78824243872579966e-05,-8.79331579929356337e+01,-2.78806340000733582e-05,-8.79335030240462743e+01,-2.76401023334182113e-05,-8.79337132142937037e+01,-2.73065719633196758e-05,-8.79337992300290097e+01
