,pulse 0,pulse 1,drug concentration
0,276.40000000000003,276.40000000000003,0.1
1,276.5,276.5,0.20691380811147897
2,276.5,276.5,0.42813323987193935
3,276.6,276.6,0.8858667904100825
4,276.90000000000003,276.90000000000003,1.8329807108324356
5,277.3,277.3,3.79269019073225
6,278.1,278.1,7.847599703514611
7,279.6,279.6,16.23776739188721
8,282.5,282.5,33.59818286283781
9,287.70000000000005,287.70000000000005,69.51927961775606
10,297.20000000000005,297.20000000000005,143.8449888287663
11,313.6,313.6,297.6351441631316
12,340.40000000000003,340.40000000000003,615.8482110660261
13,380.5,380.5,1274.2749857031322
14,434.3,434.3,2636.6508987303555
15,499.0,499.0,5455.594781168515
16,569.7,569.7,11288.378916846883
17,642.0,642.0,23357.21469090121
18,1000.0,424.40000000000003,48329.30238571752
19,1000.0,416.6,100000.0
