,param_id,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,Hill_curve,Hill_curve,param_values,param_values,param_values,param_values,param_values,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,RMSE,ME,drug_conc_Hill,peak_current,drug_conc_Hill,peak_current
,param_id,conc_0,conc_1,conc_2,conc_3,conc_4,conc_5,conc_6,conc_7,conc_8,conc_9,conc_0,conc_1,conc_2,conc_3,conc_4,conc_5,conc_6,conc_7,conc_8,conc_9,Hill_coef,IC50,Vhalf,Kmax,Ku,N,EC50,conc_0,conc_1,conc_2,conc_3,conc_4,conc_5,conc_6,conc_7,conc_8,conc_9,conc_10,conc_11,conc_12,conc_13,conc_14,conc_15,conc_16,conc_17,conc_18,conc_19,conc_20,conc_21,conc_22,conc_23,conc_24,conc_25,conc_26,conc_27,conc_28,conc_29,conc_0,conc_1,conc_2,conc_3,conc_4,conc_5,conc_6,conc_7,conc_8,conc_9,conc_10,conc_11,conc_12,conc_13,conc_14,conc_15,conc_16,conc_17,conc_18,conc_19,conc_20,conc_21,conc_22,conc_23,conc_24,conc_25,conc_26,conc_27,conc_28,conc_29,conc_0,conc_1,conc_2,conc_3,conc_4,conc_5,conc_6,conc_7,conc_8,conc_9,conc_10,conc_11,conc_12,conc_13,conc_14,conc_15,conc_16,conc_17,conc_18,conc_19,conc_20,conc_21,conc_22,conc_23,conc_24,conc_25,conc_26,conc_27,conc_28,conc_29,RMSE,ME,conc_10,conc_10,conc_11,conc_11
0,10000.0,0.0,0.0031622776601683,0.0099999999999999,0.0316227766016837,0.1,0.3162277660168379,1.0,3.1622776601683795,10.0,31.6227766016838,1.0,0.9757420503924455,0.9274538784574516,0.8026004160479286,0.5660306384668751,0.3020380856566479,0.1287415225409435,0.045086092900463,0.0116843849967157,0.0,0.9690869904501752,0.1419492953583186,-199.5,15.277114942717509,8.231944705562404e-05,1.0,1.0,0.0031622776601683,0.0051348329074375,0.0083378222347178,0.0135387618002254,0.0219839264886228,0.0356969884682606,0.0579639395338496,0.0941204967268066,0.1528306732658768,0.2481628922836825,0.4029611320200399,0.6543189129712969,1.062467830894041,1.7252105499420392,2.8013567611988672,4.548777947003778,7.386199822079358,11.99353946209233,19.47483039908755,31.6227766016838,100.0,316.227766016838,1000.0,3162.27766016838,10000.000000000002,31622.7766016838,100000.00000000004,316227.766016838,1000000.0000000003,3162277.6601683805,262.1,263.3,265.20000000000005,268.3,273.1,280.70000000000005,292.1,308.90000000000003,331.90000000000003,361.2000000000001,394.9,429.6,461.7000000000001,488.5,509.0,523.7,533.7,540.3000000000001,544.6,547.3000000000001,550.3000000000001,551.3000000000001,551.6,551.7,551.7,551.7,551.7,551.7,551.7,551.7,264.1,266.40000000000003,270.0,275.70000000000005,284.20000000000005,297.0,315.3,340.5,373.3,413.5,460.0,510.80000000000007,563.9,617.5,670.7,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,68.57139345237195,-48.82666666666666,,,,
0,10001.0,0.0,0.0031622776601683,0.0099999999999999,0.0316227766016837,0.1,0.3162277660168379,1.0,3.1622776601683795,10.0,31.6227766016838,1.0,0.9772701458758009,0.9325506316651418,0.8177846618228292,0.6003948274215379,0.3487849402840325,0.1645254567922866,0.063732275331459,0.0206048938966909,0.0051214181105363,0.9140472417361568,0.1879603947858108,-199.5,15.277114942717509,0.0001368943684257,1.0,1.0,0.0031622776601683,0.0054555947811685,0.0094120496726806,0.0162377673918872,0.0280135676119886,0.0483293023857175,0.0833782223471789,0.1438449888287662,0.2481628922836825,0.4281332398719391,0.7386199822079358,1.2742749857031337,2.1983926488622894,3.79269019073225,6.543189129712962,11.288378916846884,19.47483039908755,33.59818286283781,57.96393953384961,100.0,316.227766016838,1000.0,3162.27766016838,10000.000000000002,31622.7766016838,100000.00000000004,316227.766016838,1000000.0000000003,3162277.6601683805,10000000.000000004,262.1,263.5,265.8,269.8,276.5,287.3,304.20000000000005,328.90000000000003,361.7000000000001,400.3,439.9,475.30000000000007,503.30000000000007,523.4,536.8000000000001,545.2,550.4,553.5,555.3000000000001,556.3000000000001,557.4,557.7,557.8000000000001,557.8000000000001,557.8000000000001,557.8000000000001,557.8000000000001,557.8000000000001,557.8000000000001,557.8000000000001,264.20000000000005,266.8,271.0,277.5,287.8,303.20000000000005,325.5,356.0,395.2000000000001,442.0,494.6,550.5,607.4000000000001,663.9000000000001,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,55.90525147834634,-38.82857142857143,100.0,0.0,,
0,10002.0,0.0,0.0031622776601683,0.0099999999999999,0.0316227766016837,0.1,0.3162277660168379,1.0,3.1622776601683795,10.0,31.6227766016838,1.0,0.9794375772899306,0.9398435523159646,0.8390629425622034,0.6454914880233564,0.4046451427300523,0.2031372449024051,0.080906726525439,0.0263975366690169,0.0065813043964699,0.882970252289836,0.2451866552230309,-199.5,15.277114942717509,0.00022765055861,1.0,1.0,0.0031622776601683,0.0054555947811685,0.0094120496726806,0.0162377673918872,0.0280135676119886,0.0483293023857175,0.0833782223471789,0.1438449888287662,0.2481628922836825,0.4281332398719391,0.7386199822079358,1.2742749857031337,2.1983926488622894,3.79269019073225,6.543189129712962,11.288378916846884,19.47483039908755,33.59818286283781,57.96393953384961,100.0,316.227766016838,1000.0,3162.27766016838,10000.000000000002,31622.7766016838,100000.00000000004,316227.766016838,1000000.0000000003,3162277.6601683805,10000000.000000004,262.1,263.5,265.90000000000003,269.90000000000003,276.5,287.40000000000003,304.5,329.40000000000003,362.9,402.5,443.6,480.7000000000001,510.4,531.9,546.3000000000001,555.4,561.0,564.3000000000001,566.3000000000001,567.4000000000001,568.5,568.9000000000001,569.0,569.0,569.1,569.1,569.1,569.1,569.1,569.1,263.90000000000003,266.20000000000005,269.8,275.40000000000003,284.1,297.20000000000005,316.20000000000005,342.40000000000003,376.7000000000001,418.6,467.0,519.6,574.2,629.2,683.3000000000001,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,48.53372023655308,-29.753333333333348,100.0,0.0,,
0,10003.0,0.0,0.0031622776601683,0.0099999999999999,0.0316227766016837,0.1,0.3162277660168379,1.0,3.1622776601683795,10.0,31.6227766016838,1.0,0.9809442199668597,0.9453724621152284,0.8558765332445891,0.6806288137645912,0.4454364654823035,0.2288845591007773,0.0915212204282963,0.0298367985574961,0.007431135798966,0.879298864570845,0.2880792437651367,-199.5,15.277114942717509,0.0003785749365108,1.0,1.0,0.0031622776601683,0.0054555947811685,0.0094120496726806,0.0162377673918872,0.0280135676119886,0.0483293023857175,0.0833782223471789,0.1438449888287662,0.2481628922836825,0.4281332398719391,0.7386199822079358,1.2742749857031337,2.1983926488622894,3.79269019073225,6.543189129712962,11.288378916846884,19.47483039908755,33.59818286283781,57.96393953384961,100.0,316.227766016838,1000.0,3162.27766016838,10000.000000000002,31622.7766016838,100000.00000000004,316227.766016838,1000000.0000000003,3162277.6601683805,10000000.000000004,262.1,263.5,265.90000000000003,270.0,276.70000000000005,287.70000000000005,305.1,330.70000000000005,365.3,406.8,450.6,490.9,523.4,547.1,562.9,572.9000000000001,579.1,582.7,584.9000000000001,586.2,587.4000000000001,587.8000000000001,587.9000000000001,587.9000000000001,587.9000000000001,587.9000000000001,587.9000000000001,587.9000000000001,587.9000000000001,587.9000000000001,263.40000000000003,265.40000000000003,268.5,273.40000000000003,281.1,292.6,309.5,333.20000000000005,364.7000000000001,404.1,450.3,501.5,555.5,610.2,664.6,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,32.21553455503521,-15.286666666666674,100.0,0.0,,
0,10004.0,0.0,0.0031622776601683,0.0099999999999999,0.0316227766016837,0.1,0.3162277660168379,1.0,3.1622776601683795,10.0,31.6227766016838,1.0,0.980930778780886,0.9462899290229976,0.8603791840578524,0.6908208981694463,0.4545278174935865,0.2312470170600655,0.0912210474614473,0.0295187375374044,0.0073311456119379,0.8876449443556677,0.2943203274234476,-199.5,15.277114942717509,0.0006295569113874,1.0,1.0,0.0031622776601683,0.0054555947811685,0.0094120496726806,0.0162377673918872,0.0280135676119886,0.0483293023857175,0.0833782223471789,0.1438449888287662,0.2481628922836825,0.4281332398719391,0.7386199822079358,1.2742749857031337,2.1983926488622894,3.79269019073225,6.543189129712962,11.288378916846884,19.47483039908755,33.59818286283781,57.96393953384961,100.0,316.227766016838,1000.0,3162.27766016838,10000.000000000002,31622.7766016838,100000.00000000004,316227.766016838,1000000.0000000003,3162277.6601683805,10000000.000000004,262.20000000000005,263.6,266.0,270.1,277.1,288.40000000000003,306.3,333.1,369.9,415.0,463.4,508.2000000000001,544.0,569.4000000000001,586.0,596.3000000000001,602.6,606.2,608.4000000000001,609.7,610.9000000000001,611.3000000000001,611.4000000000001,611.4000000000001,611.4000000000001,611.4000000000001,611.4000000000001,611.4000000000001,611.4000000000001,611.4000000000001,263.20000000000005,265.1,268.0,272.70000000000005,280.1,291.20000000000005,307.70000000000005,331.0,362.2000000000001,401.5,447.9,499.4,553.8000000000001,609.1,664.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,23.597429238513808,-6.280000000000003,100.0,0.0,,
0,10005.0,0.0,0.0031622776601683,0.0099999999999999,0.0316227766016837,0.1,0.3162277660168379,1.0,3.1622776601683795,10.0,31.6227766016838,1.0,0.9797625777655744,0.9433740956869416,0.8541883969652364,0.6794640401449674,0.4374752474018257,0.2156131619864933,0.0829916124600366,0.0265437133194427,0.0065641418438808,0.8976100190898977,0.2711002423021651,-199.5,15.277114942717509,0.0010469311791442,1.0,1.0,0.0031622776601683,0.0054555947811685,0.0094120496726806,0.0162377673918872,0.0280135676119886,0.0483293023857175,0.0833782223471789,0.1438449888287662,0.2481628922836825,0.4281332398719391,0.7386199822079358,1.2742749857031337,2.1983926488622894,3.79269019073225,6.543189129712962,11.288378916846884,19.47483039908755,33.59818286283781,57.96393953384961,100.0,316.227766016838,1000.0,3162.27766016838,10000.000000000002,31622.7766016838,100000.00000000004,316227.766016838,1000000.0000000003,3162277.6601683805,10000000.000000004,262.20000000000005,263.70000000000005,266.20000000000005,270.5,277.8,289.70000000000005,308.8,337.8,378.3,428.9,482.9,530.8000000000001,566.7,590.9000000000001,606.2,615.5,621.1,624.4000000000001,626.3000000000001,627.4000000000001,628.5,628.8000000000001,628.9000000000001,629.0,629.0,629.0,629.0,629.0,629.0,629.0,263.3,265.20000000000005,268.3,273.3,281.0,292.70000000000005,310.1,334.6,367.3,408.2000000000001,456.0,508.80000000000007,564.0,619.9000000000001,675.2,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,22.23101437181848,-1.7666666666666628,100.0,0.0,,
0,10006.0,0.0,0.0031622776601683,0.0099999999999999,0.0316227766016837,0.1,0.3162277660168379,1.0,3.1622776601683795,10.0,31.6227766016838,1.0,0.978146555196568,0.938486888518442,0.8417184791180257,0.655110209497253,0.4056582871768383,0.1911118434461888,0.0713362592371596,0.0225033711386416,0.0055372932638982,0.9101186652861548,0.2348113822305211,-199.5,15.277114942717509,0.0017410100247312,1.0,1.0,0.0031622776601683,0.0054555947811685,0.0094120496726806,0.0162377673918872,0.0280135676119886,0.0483293023857175,0.0833782223471789,0.1438449888287662,0.2481628922836825,0.4281332398719391,0.7386199822079358,1.2742749857031337,2.1983926488622894,3.79269019073225,6.543189129712962,11.288378916846884,19.47483039908755,33.59818286283781,57.96393953384961,100.0,316.227766016838,1000.0,3162.27766016838,10000.000000000002,31622.7766016838,100000.00000000004,316227.766016838,1000000.0000000003,3162277.6601683805,10000000.000000004,262.40000000000003,263.90000000000003,266.6,271.3,279.1,292.1,313.1,345.5,391.3,447.3,503.6,549.7,582.6,604.2,617.8000000000001,626.1,631.1,634.0,635.7,636.7,637.7,638.0,638.1,638.1,638.1,638.1,638.1,638.1,638.1,638.1,263.5,265.6,269.0,274.5,283.0,296.0,315.1,341.8,377.1,420.6,470.7000000000001,525.2,581.6,638.2,693.7,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,25.276088832465085,-1.6733333333333271,100.0,0.0,,
0,10007.0,0.0,0.0031622776601683,0.0099999999999999,0.0316227766016837,0.1,0.3162277660168379,1.0,3.1622776601683795,10.0,31.6227766016838,1.0,0.9766709835349672,0.9333098384006484,0.8267963977581219,0.624463943256546,0.3673511411614947,0.1639711415250527,0.0591624914390005,0.0183924849324071,0.0045024460622129,0.9290719601418812,0.1961556174994688,-199.5,15.277114942717509,0.0028952389293555,1.0,1.0,0.0031622776601683,0.0054555947811685,0.0094120496726806,0.0162377673918872,0.0280135676119886,0.0483293023857175,0.0833782223471789,0.1438449888287662,0.2481628922836825,0.4281332398719391,0.7386199822079358,1.2742749857031337,2.1983926488622894,3.79269019073225,6.543189129712962,11.288378916846884,19.47483039908755,33.59818286283781,57.96393953384961,100.0,316.227766016838,1000.0,3162.27766016838,10000.000000000002,31622.7766016838,100000.00000000004,316227.766016838,1000000.0000000003,3162277.6601683805,10000000.000000004,262.6,264.3,267.3,272.40000000000003,281.1,295.6,319.3,355.8,406.3,464.6,518.9,561.4,591.4000000000001,611.3000000000001,623.9000000000001,631.6,636.2,638.9000000000001,640.5,641.5,642.4000000000001,642.7,642.8000000000001,642.8000000000001,642.8000000000001,642.8000000000001,642.8000000000001,642.8000000000001,642.8000000000001,642.8000000000001,263.8,266.1,269.90000000000003,275.90000000000003,285.5,300.0,321.40000000000003,351.1,389.7000000000001,436.5,489.5,546.0,603.8000000000001,661.4000000000001,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,18.745227964166546,0.8357142857142809,100.0,0.0,,
0,10008.0,0.0,0.0031622776601683,0.0099999999999999,0.0316227766016837,0.1,0.3162277660168379,1.0,3.1622776601683795,10.0,31.6227766016838,1.0,0.9755410876023995,0.9289007038246162,0.8126034383116162,0.5929987195092096,0.3275878254092925,0.1357710601550752,0.0449484652380505,0.0112601074814396,0.0,0.9634827327720578,0.1581133716566255,-199.5,15.277114942717509,0.0048146813280697,1.0,1.0,0.0031622776601683,0.0051348329074375,0.0083378222347178,0.0135387618002254,0.0219839264886228,0.0356969884682606,0.0579639395338496,0.0941204967268066,0.1528306732658768,0.2481628922836825,0.4029611320200399,0.6543189129712969,1.062467830894041,1.7252105499420392,2.8013567611988672,4.548777947003778,7.386199822079358,11.99353946209233,19.47483039908755,31.6227766016838,100.0,316.227766016838,1000.0,3162.27766016838,10000.000000000002,31622.7766016838,100000.00000000004,316227.766016838,1000000.0000000003,3162277.6601683805,262.90000000000003,264.6,267.3,271.70000000000005,278.70000000000005,290.0,307.6,334.3,372.2000000000001,419.9,471.1,518.0,556.1,584.9000000000001,605.5,619.6,629.0,635.0,638.8000000000001,641.2,643.9000000000001,644.8000000000001,645.1,645.1,645.2,645.2,645.2,645.2,645.2,645.2,263.8,266.0,269.3,274.5,282.40000000000003,294.20000000000005,311.20000000000005,334.8,365.8,404.3,449.4,499.1,551.6,604.9000000000001,657.9000000000001,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,17.005058071056407,-1.626666666666669,,,,
