,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,Hill_curve,Hill_curve,param_values,param_values,param_values,param_values,param_values,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,RMSE,ME
,conc_0,conc_1,conc_2,conc_3,conc_4,conc_5,conc_6,conc_7,conc_8,conc_9,conc_10,conc_11,conc_12,conc_13,conc_0,conc_1,conc_2,conc_3,conc_4,conc_5,conc_6,conc_7,conc_8,conc_9,conc_10,conc_11,conc_12,conc_13,Hill_coef,IC50,Vhalf,Kmax,Ku,N,EC50,conc_0,conc_1,conc_2,conc_3,conc_4,conc_5,conc_6,conc_7,conc_8,conc_9,conc_10,conc_11,conc_12,conc_13,conc_14,conc_15,conc_16,conc_17,conc_18,conc_19,conc_0,conc_1,conc_2,conc_3,conc_4,conc_5,conc_6,conc_7,conc_8,conc_9,conc_10,conc_11,conc_12,conc_13,conc_14,conc_15,conc_16,conc_17,conc_18,conc_19,conc_0,conc_1,conc_2,conc_3,conc_4,conc_5,conc_6,conc_7,conc_8,conc_9,conc_10,conc_11,conc_12,conc_13,conc_14,conc_15,conc_16,conc_17,conc_18,conc_19,RMSE,ME
0,0.0,1.1359430134723382e-15,3.592167214727924e-15,1.1359430134723382e-14,3.5921672147279235e-14,1.1359430134723385e-13,3.592167214727924e-13,1.1359430134723385e-12,3.592167214727924e-12,1.1359430134723384e-11,3.592167214727925e-11,1.1359430134723388e-10,3.592167214727925e-10,1.1359430134723384e-09,1.0,0.9831568000373442,0.9650111833685944,0.9288566749674868,0.8606888539626804,0.7450575546203755,0.5801484275643678,0.3954261670548027,0.2373617518051306,0.1309097006201274,0.069777222795652,0.0360388125067802,0.0154365502428624,0.0,0.6457078308347861,1.2761062552932872e-08,-1.147,100000000.0,1.79e-05,0.65,548300000.0,1.1359430134723396e-15,2.350422947151909e-15,4.863349626678071e-15,1.0062941914334996e-14,2.0821616322996705e-14,4.30827992442738e-14,8.91442605573504e-14,1.8445178423203291e-13,3.816562108840662e-13,7.896993998342017e-13,1.6339971008304349e-12,3.3809656257594162e-12,6.995684727198904e-12,1.4475037672520384e-11,2.9950851673783126e-11,6.197244776004532e-11,1.2822955164020668e-10,2.6532464842302726e-10,5.489933339104788e-10,1.1359430134723395e-09,278.40000000000003,279.70000000000005,281.6,284.70000000000005,289.40000000000003,296.70000000000005,307.8,323.8,346.40000000000003,376.6,415.4,462.4,516.2,574.5,634.6,694.5,1000.0,1000.0,1000.0,1000.0,279.0,280.5,283.0,286.8,292.6,301.6,314.8,333.8,359.6,393.1,433.7000000000001,480.30000000000007,530.9,583.5,636.5,688.8000000000001,1000.0,1000.0,1000.0,1000.0,10.079682534683322,-7.237499999999994
0,0.0,3.638931441505516e-15,1.1507311604357211e-14,3.6389314415055165e-14,1.150731160435721e-13,3.6389314415055163e-13,1.150731160435721e-12,3.638931441505516e-12,1.1507311604357213e-11,3.638931441505516e-11,1.1507311604357211e-10,3.6389314415055166e-10,1.1507311604357211e-09,3.638931441505517e-09,1.0,0.984442207679113,0.9671301849233006,0.9311089278340168,0.8613816214882251,0.7407519208612411,0.5681338307394935,0.3778389701876015,0.2210978663203348,0.1203888622322029,0.0647133568727332,0.0343593619286497,0.0152491896272675,0.0,0.6637381799559137,1.5743557271059043e-08,-1.147,100000000.0,1.79e-05,0.6754,548300000.0,3.6389314415055086e-15,7.529451620184986e-15,1.557947507723621e-14,3.2236085166088234e-14,6.670091140321276e-14,1.3801339582945128e-13,2.855687730146867e-13,5.90881223021914e-13,1.2226148399703233e-12,2.529758923918661e-12,5.2344205255200746e-12,1.083073884192248e-11,2.2410294184430905e-11,4.63699931059913e-11,9.594591855663687e-11,1.985253538130756e-10,4.10776369641422e-10,8.499530292471514e-10,1.758670179974154e-09,3.638931441505524e-09,278.3,279.40000000000003,281.3,284.40000000000003,289.20000000000005,296.8,308.40000000000003,325.5,349.70000000000005,382.5,424.4,475.0,532.4,593.7,656.5,717.4000000000001,1000.0,1000.0,1000.0,1000.0,278.90000000000003,280.40000000000003,282.8,286.6,292.6,301.8,315.6,335.40000000000003,362.7000000000001,397.9,440.7000000000001,489.4,542.0,596.2,650.6,1000.0,1000.0,1000.0,1000.0,1000.0,8.971398999041348,-6.406666666666672
0,0.0,1.0713705830203581e-14,3.3879712604468504e-14,1.071370583020358e-13,3.3879712604468497e-13,1.0713705830203582e-12,3.3879712604468497e-12,1.071370583020358e-11,3.3879712604468506e-11,1.071370583020358e-10,3.387971260446851e-10,1.0713705830203583e-09,3.3879712604468513e-09,,1.0,0.9857217038964792,0.9685796897288244,0.9322479946630275,0.8599170690044309,0.7322936913916717,0.548984621297432,0.350927666259799,0.1939641674633334,0.0976373394279252,0.0462847749423368,0.0183692202580154,0.0,,0.7042427835075105,1.017006517102676e-08,-1.147,100000000.0,1.79e-05,0.7008000000000001,548300000.0,1.07137058302036e-14,2.0864760398893042e-14,4.063376700860415e-14,7.913357209686043e-14,1.5411128954603288e-13,3.001291226493661e-13,5.844963761423345e-13,1.1382967794253285e-12,2.2168136723135817e-12,4.3172070294685406e-12,8.407687469664866e-12,1.6373828752025668e-11,3.1887753792940286e-11,6.210085969253749e-11,1.2094037101496986e-10,2.35529321391926e-10,4.586893588119955e-10,8.932897468729855e-10,1.7396666317595227e-09,3.3879712604468567e-09,278.1,279.1,280.70000000000005,283.20000000000005,287.20000000000005,293.20000000000005,302.40000000000003,315.8,335.0,361.2000000000001,395.4,437.9,488.0,543.6,602.3000000000001,662.0,727.9000000000001,1000.0,1000.0,1000.0,278.5,279.8,281.8,284.90000000000003,289.70000000000005,297.20000000000005,308.40000000000003,324.6,347.3,377.3,414.9,459.0,508.1,560.0,612.9000000000001,665.7,1000.0,1000.0,1000.0,1000.0,11.660349480182829,-9.062499999999996
0,0.0,2.9248251553419866e-14,9.249109248636474e-14,2.924825155341987e-13,9.249109248636471e-13,2.924825155341987e-12,9.249109248636472e-12,2.9248251553419865e-11,9.249109248636472e-11,2.924825155341986e-10,9.249109248636475e-10,2.9248251553419872e-09,9.249109248636475e-09,,1.0,0.9869590583641502,0.9704552851421716,0.9343781051506282,0.8605610755464574,0.7277534678637478,0.5365038494628762,0.3341225420606118,0.1801170945928372,0.0899347572333137,0.0432530208938763,0.0177006380475583,0.0,,0.7228383279092014,1.2275113771786425e-08,-1.147,100000000.0,1.79e-05,0.7262000000000001,548300000.0,2.9248251553419815e-14,5.696047384726993e-14,1.1092955676272472e-13,2.1603343042000173e-13,4.2072144179626283e-13,8.193478724241795e-13,1.595666085331417e-12,3.107532638540528e-12,6.051867109520575e-12,1.1785908555572976e-11,2.2952857021893843e-11,4.470029976758879e-11,8.705307567621671e-11,1.6953438845132526e-10,3.301653461902582e-10,6.429914120711326e-10,1.2522148698155163e-09,2.438667221287265e-09,4.749263053438356e-09,9.249109248636497e-09,278.0,278.90000000000003,280.5,283.0,287.0,293.20000000000005,302.70000000000005,316.90000000000003,337.3,365.4,402.2000000000001,447.9,501.30000000000007,560.0,621.4000000000001,683.0,1000.0,1000.0,1000.0,1000.0,278.40000000000003,279.6,281.6,284.70000000000005,289.6,297.20000000000005,308.8,325.70000000000005,349.5,381.1,420.5,466.7000000000001,517.7,571.3000000000001,625.7,679.6,1000.0,1000.0,1000.0,1000.0,10.16279981107568,-7.4375000000000036
0,0.0,7.46071426249512e-14,2.3592850041187933e-13,7.460714262495121e-13,2.359285004118793e-12,7.460714262495122e-12,2.359285004118793e-11,7.460714262495123e-11,2.359285004118793e-10,7.460714262495123e-10,2.359285004118793e-09,7.460714262495124e-09,2.3592850041187943e-08,,1.0,0.9880978662954788,0.9719658592233834,0.9364335839130796,0.8611834845196936,0.7231937946007796,0.5240159544911854,0.3180860268442921,0.1676624391189707,0.0834366484394898,0.0410412929734965,0.0173706787007367,0.0,,0.740936255789673,1.4816187083787675e-08,-1.147,100000000.0,1.79e-05,0.7516,548300000.0,7.460714262495125e-14,1.45296144918146e-13,2.8296177799221485e-13,5.510632635822643e-13,1.0731863597432265e-12,2.090012234261356e-12,4.070263379425791e-12,7.926768899393414e-12,1.5437247992844912e-11,3.006377864893103e-11,5.854869903436407e-11,1.1402259837814602e-10,2.2205707650776758e-10,4.324523903905978e-10,8.42193695853688e-10,1.640157938993135e-09,3.194179768960826e-09,6.220610926470869e-09,1.2114534277173142e-08,2.3592850041187943e-08,277.8,278.8,280.3,282.8,286.8,293.1,303.0,318.0,339.70000000000005,369.8,409.3,458.2000000000001,514.9,576.7,640.5,703.6,1000.0,1000.0,1000.0,1000.0,278.3,279.5,281.40000000000003,284.5,289.5,297.3,309.20000000000005,326.8,351.70000000000005,384.8,426.1,474.30000000000007,527.2,582.4000000000001,638.2,693.1,1000.0,1000.0,1000.0,1000.0,9.204007279440852,-5.687500000000014
0,0.0,9.660462061960656e-13,3.054906336544235e-12,9.660462061960656e-12,3.054906336544233e-11,9.660462061960658e-11,3.0549063365442337e-10,9.660462061960655e-10,3.054906336544234e-09,9.66046206196066e-09,3.0549063365442354e-08,9.660462061960661e-08,3.054906336544236e-07,,1.0,0.9910473187518182,0.9770881404441982,0.9424326642862134,0.8630236442993235,0.7084238130874003,0.4854166691142828,0.2723962307069762,0.1366397283897227,0.0700159273180332,0.037751106635619,0.0174868549871995,0.0,,0.7952805867902982,2.6151917562105167e-08,-1.147,100000000.0,1.79e-05,0.8311,548300000.0,9.660462061960654e-13,1.8813586023350315e-12,3.663913970033925e-12,7.135410316325817e-12,1.389609057383448e-11,2.7062400713578656e-11,5.270356640890897e-11,1.0263930172405488e-10,1.9988829933567496e-10,3.8927907283243265e-10,7.581143921325667e-10,1.476414920988908e-09,2.875293018494132e-09,5.599584388285367e-09,1.0905095626723582e-08,2.1237488781627333e-08,4.1359649212471735e-08,8.054721537786428e-08,1.568643358602685e-07,3.054906336544234e-07,277.5,278.3,279.70000000000005,282.1,286.20000000000005,293.0,304.1,321.6,347.8,384.6,433.1,492.30000000000007,559.1,629.4000000000001,699.5,1000.0,1000.0,1000.0,1000.0,1000.0,278.0,279.1,280.90000000000003,284.0,289.1,297.40000000000003,310.5,330.3,358.70000000000005,396.7000000000001,443.8,497.9,556.2,615.9000000000001,675.4000000000001,1000.0,1000.0,1000.0,1000.0,1000.0,9.426558226627558,-1.706666666666668
0,0.0,1.3033810635623648e-11,4.121652819989769e-11,1.3033810635623646e-10,4.1216528199897687e-10,1.3033810635623642e-09,4.121652819989768e-09,1.3033810635623648e-08,4.1216528199897684e-08,1.303381063562365e-07,4.121652819989769e-07,,,,1.0,0.9793805301712428,0.9451361078899738,0.8617068108669242,0.6928046391300104,0.4503851082456664,0.2324837491313294,0.1060528542426424,0.0483308866884873,0.0199797714273017,0.0,,,,0.8644101449817638,1.7360699572272465e-08,-1.147,100000000.0,1.79e-05,0.8840749999999999,548300000.0,1.3033810635623651e-11,2.248606761452468e-11,3.8793201075288e-11,6.692643976110999e-11,1.1546219994592732e-10,1.9919660546623096e-10,3.436560852629837e-10,5.928791038474802e-10,1.0228412847978592e-09,1.7646165754495363e-09,3.0443351325681326e-09,5.2521190882657395e-09,9.061011260628016e-09,1.5632152219979134e-08,2.6968753928207872e-08,4.652677879573502e-08,8.026848963322162e-08,1.3848004514314744e-07,2.389072348374078e-07,4.1216528199897705e-07,278.90000000000003,280.40000000000003,282.90000000000003,286.8,292.90000000000003,302.20000000000005,316.1,336.1,363.6,399.8,444.7000000000001,497.5,555.7,616.7,678.2,1000.0,1000.0,1000.0,1000.0,1000.0,279.70000000000005,281.70000000000005,284.8,289.6,297.0,308.20000000000005,324.5,347.20000000000005,377.3,415.1,459.5,508.80000000000007,560.9,614.1,667.1,1000.0,1000.0,1000.0,1000.0,1000.0,8.891494062679605,-5.533333333333326
0,0.0,4.7195871678510734e-11,1.4924645066112802e-10,4.719587167851072e-10,1.4924645066112802e-09,4.719587167851073e-09,1.49246450661128e-08,4.7195871678510736e-08,1.49246450661128e-07,4.719587167851074e-07,1.4924645066112805e-06,,,,1.0,0.9818933456604534,0.9486164037578492,0.862775150772163,0.6821910670964068,0.4252385225618064,0.2090033665435127,0.0947219149888263,0.0455075730363246,0.0200460023239639,0.0,,,,0.9002583821080812,2.4250998447891563e-08,-1.147,100000000.0,1.79e-05,0.93705,548300000.0,4.7195871678510695e-11,8.142281573347735e-11,1.4047150070938176e-10,2.4234291499001704e-10,4.1809255364448415e-10,7.21297684399672e-10,1.2443903747750774e-09,2.1468354028082916e-09,3.703743085913947e-09,6.389736646093626e-09,1.1023641073191986e-08,1.90181018782452e-08,3.28102300002212e-08,5.66045549424065e-08,9.765477536141349e-08,1.6847504870573045e-07,2.906549314291251e-07,5.014409540942076e-07,8.650912241763287e-07,1.4924645066112788e-06,278.6,280.1,282.5,286.40000000000003,292.8,302.70000000000005,317.90000000000003,340.1,371.0,411.8,462.2000000000001,520.6,584.0,649.2,713.0,1000.0,1000.0,1000.0,1000.0,1000.0,279.5,281.40000000000003,284.5,289.40000000000003,297.1,308.90000000000003,326.20000000000005,350.70000000000005,383.4,424.1,471.80000000000007,524.2,579.0,634.4000000000001,689.1,1000.0,1000.0,1000.0,1000.0,1000.0,9.930088955627069,-2.0533333333333457
0,0.0,1.4891270350650908e-10,4.709033156139111e-10,1.4891270350650906e-09,4.709033156139111e-09,1.4891270350650909e-08,4.709033156139111e-08,1.489127035065091e-07,4.7090331561391124e-07,1.489127035065091e-06,4.709033156139113e-06,,,,1.0,0.9840511758282472,0.9518593285836104,0.8637739969310667,0.671344246179812,0.4007837681799653,0.1886960118594804,0.0864384192961172,0.0440663584479173,0.0202046656770239,0.0,,,,0.9350890452667008,3.3332778366341134e-08,-1.147,100000000.0,1.79e-05,0.990025,548300000.0,1.4891270350650918e-10,2.5690576710982047e-10,4.4321653975881485e-10,7.646418503007159e-10,1.3191681870659963e-09,2.27584287347417e-09,3.926308135328044e-09,6.7737082173911965e-09,1.16860728788724e-08,2.016093621802224e-08,3.4781859860040526e-08,6.000603157714745e-08,1.0352303873705015e-07,1.7859903859121764e-07,3.081209455870741e-07,5.315735059849372e-07,9.170762205948914e-07,1.5821495708712823e-06,2.7295411312534065e-06,4.709033156139115e-06,278.40000000000003,279.8,282.1,286.1,292.70000000000005,303.3,319.8,344.40000000000003,378.9,424.5,480.6,544.5,612.6,681.4000000000001,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,279.3,281.20000000000005,284.20000000000005,289.20000000000005,297.20000000000005,309.6,328.0,354.40000000000003,389.5,433.3,484.0,539.3000000000001,596.6,654.1,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,10.259699243712204,-0.7714285714285722
