,param_id,param_values,param_values,param_values,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,RMSE,ME,MAE,MRSE
,param_id,Vhalf,Kmax,Ku,conc_0,conc_1,conc_2,conc_3,conc_4,conc_5,conc_6,conc_7,conc_8,conc_9,conc_10,conc_11,conc_12,conc_13,conc_14,conc_15,conc_16,conc_17,conc_18,conc_19,conc_20,conc_21,conc_22,conc_23,conc_24,conc_25,conc_26,conc_27,conc_28,conc_29,conc_0,conc_1,conc_2,conc_3,conc_4,conc_5,conc_6,conc_7,conc_8,conc_9,conc_10,conc_11,conc_12,conc_13,conc_14,conc_15,conc_16,conc_17,conc_18,conc_19,conc_20,conc_21,conc_22,conc_23,conc_24,conc_25,conc_26,conc_27,conc_28,conc_29,RMSE,ME,MAE,MRSE
0,5000.0,-219.45,1.0,0.0020449034846484,276.90000000000003,277.20000000000005,277.8,278.8,280.3,282.8,286.5,291.5,297.70000000000005,304.20000000000005,310.20000000000005,315.1,318.6,320.90000000000003,322.40000000000003,323.3,323.8,324.1,324.3,324.40000000000003,324.5,324.5,324.5,324.6,324.6,324.6,324.6,324.6,324.6,324.6,278.90000000000003,280.70000000000005,283.6,288.5,296.40000000000003,309.0,328.3,356.1,393.5,440.3,494.30000000000007,552.8000000000001,612.8000000000001,672.6,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,154.76976218148778,-104.95000000000002,104.95000000000002,41.363958851115
1,5001.0,-219.45,1.0,0.0052751737877221,277.0,277.40000000000003,278.1,279.3,281.20000000000005,284.3,288.8,295.1,302.70000000000005,310.8,318.3,324.3,328.6,331.40000000000003,333.3,334.40000000000003,335.0,335.40000000000003,335.6,335.8,335.90000000000003,335.90000000000003,335.90000000000003,336.0,336.0,336.0,336.0,336.0,336.0,336.0,278.70000000000005,280.40000000000003,283.20000000000005,287.90000000000003,295.6,308.0,327.0,354.8,392.5,439.7000000000001,494.6,553.9,614.8000000000001,675.5,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,149.92774211980537,-100.66428571428573,100.66428571428573,40.069874556064875
2,5002.0,-219.45,1.0,0.0542097384755702,277.20000000000005,277.8,278.8,280.5,283.20000000000005,287.5,293.70000000000005,302.1,312.1,322.40000000000003,331.6,338.8,343.90000000000003,347.20000000000005,349.3,350.6,351.40000000000003,351.8,352.1,352.20000000000005,352.40000000000003,352.40000000000003,352.40000000000003,352.40000000000003,352.40000000000003,352.40000000000003,352.40000000000003,352.40000000000003,352.40000000000003,352.40000000000003,278.5,280.1,282.70000000000005,287.20000000000005,294.6,306.6,325.20000000000005,352.6,390.2000000000001,437.6,492.9,552.9,614.6,676.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,140.59044623098885,-92.49285714285716,92.49285714285716,37.574377260716005
3,5003.0,-219.45,1.0,0.0760138578786789,277.20000000000005,277.90000000000003,278.90000000000003,280.6,283.40000000000003,287.70000000000005,294.0,302.5,312.6,322.90000000000003,332.1,339.40000000000003,344.5,347.8,349.90000000000003,351.20000000000005,351.90000000000003,352.40000000000003,352.6,352.8,352.90000000000003,353.0,353.0,353.0,353.0,353.0,353.0,353.0,353.0,353.0,278.5,280.1,282.70000000000005,287.20000000000005,294.6,306.6,325.20000000000005,352.70000000000005,390.2000000000001,437.7000000000001,493.0,553.0,614.7,676.1,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,140.29157392475756,-92.20000000000002,92.20000000000002,37.4945002769794
4,5004.0,-219.45,2.340347319320716,0.0020449034846484,277.5,278.20000000000005,279.3,281.1,283.8,287.90000000000003,294.0,302.40000000000003,313.20000000000005,325.90000000000003,339.20000000000005,351.6,361.9,369.8,375.3,379.1,381.6,383.1,384.1,384.7000000000001,385.4,385.6,385.7000000000001,385.7000000000001,385.7000000000001,385.7000000000001,385.7000000000001,385.7000000000001,385.7000000000001,385.7000000000001,279.70000000000005,281.70000000000005,284.8,289.70000000000005,297.1,308.3,324.6,347.3,377.5,415.2000000000001,459.6,508.80000000000007,560.9,614.0,666.9000000000001,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,126.29301907337027,-86.33333333333334,86.33333333333334,32.60871730756125
5,5005.0,-219.45,2.340347319320716,0.0052751737877221,277.8,278.6,280.0,282.1,285.5,290.6,298.1,308.5,322.0,337.70000000000005,353.90000000000003,368.9,381.1,390.3,396.7000000000001,401.0,403.8,405.6,406.7000000000001,407.4,408.2000000000001,408.4,408.5,408.5,408.6,408.6,408.6,408.6,408.6,408.6,279.6,281.6,284.70000000000005,289.5,297.1,308.5,325.20000000000005,348.8,380.0,419.1,464.9,515.6,569.0,623.2,677.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,119.68049687953894,-80.8,80.8,30.901371418685535
6,5006.0,-219.45,2.340347319320716,0.0542097384755702,278.40000000000003,279.5,281.5,284.5,289.1,296.1,306.0,319.5,336.0,354.40000000000003,372.3,388.1,400.6,409.7000000000001,416.0,420.2000000000001,422.8,424.6,425.6,426.3,427.0,427.3,427.3,427.4,427.4,427.4,427.4,427.4,427.4,427.4,279.40000000000003,281.3,284.3,289.1,296.5,307.90000000000003,324.8,348.70000000000005,380.6,420.7000000000001,467.7000000000001,519.6,574.1,629.4000000000001,684.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,110.87708509877054,-71.76000000000002,71.76000000000002,28.628340270904054
7,5007.0,-219.45,2.340347319320716,0.0760138578786789,278.40000000000003,279.6,281.6,284.6,289.3,296.40000000000003,306.5,320.0,336.6,354.90000000000003,372.9,388.6,401.0,410.1,416.4,420.5,423.2000000000001,424.9,426.0,426.6,427.4,427.6,427.7000000000001,427.7000000000001,427.7000000000001,427.7000000000001,427.7000000000001,427.7000000000001,427.7000000000001,427.7000000000001,279.40000000000003,281.3,284.3,289.1,296.5,307.90000000000003,324.8,348.70000000000005,380.6,420.6,467.6,519.6,574.1,629.3000000000001,684.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,110.56753290787192,-71.39333333333335,71.39333333333335,28.54841423889523
8,5008.0,-219.45,5.477225575051661,0.0020449034846484,279.0,280.6,283.20000000000005,287.3,293.6,303.3,317.3,336.6,361.0,388.7000000000001,416.3,440.6,459.7000000000001,473.5,483.0,489.2000000000001,493.1,495.6,497.2000000000001,498.2000000000001,499.2000000000001,499.6,499.7000000000001,499.7000000000001,499.7000000000001,499.7000000000001,499.7000000000001,499.7000000000001,499.7000000000001,499.7000000000001,281.5,284.40000000000003,288.90000000000003,295.70000000000005,305.90000000000003,320.70000000000005,341.5,369.1,404.0,445.6,492.4,542.5,594.1,646.0,696.9000000000001,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,88.33796088507665,-60.36666666666667,60.36666666666667,22.808763423054938
